0,1,2,3
-99.0,5,1.71,2.13
-2.4,1,0.34,4.26
-2.2,1,0.34,6.38
-2.0,2,0.68,8.51
-1.9,2,0.68,10.64
-1.8,1,0.34,12.77
-1.7,8,2.73,14.89
-1.6,4,1.37,17.02
-1.5,3,1.02,19.15
-1.4,6,2.05,21.28
-1.3,7,2.39,23.4
-1.2,5,1.71,25.53
-1.1,9,3.07,27.66
-1.0,8,2.73,29.79
-0.9,9,3.07,31.91
-0.8,9,3.07,34.04
-0.7,7,2.39,36.17
-0.6,11,3.75,38.3
-0.5,11,3.75,40.43
-0.4,4,1.37,42.55
-0.3,6,2.05,44.68
-0.2,9,3.07,46.81
-0.1,8,2.73,48.94
0.0,16,5.46,51.06
0.1,12,4.1,53.19
0.2,13,4.44,55.32
0.3,10,3.41,57.45
0.4,12,4.1,59.57
0.5,6,2.05,61.7
0.6,7,2.39,63.83
0.7,10,3.41,65.96
0.8,8,2.73,68.09
0.9,8,2.73,70.21
1.0,9,3.07,72.34
1.1,6,2.05,74.47
1.2,7,2.39,76.6
1.3,4,1.37,78.72
1.4,8,2.73,80.85
1.5,3,1.02,82.98
1.6,4,1.37,85.11
1.7,1,0.34,87.23
1.8,4,1.37,89.36
1.9,2,0.68,91.49
2.0,4,1.37,93.62
2.1,1,0.34,95.74
2.2,1,0.34,97.87
2.4,1,0.34,100.0
