0,1,2,3,4,5,6
12/01/2000,01/01/2001,1,-1.62,-1.62,-1.62,-1.62
03/01/2002,04/01/2002,1,-1.66,-1.66,-1.66,-1.66
06/01/2002,07/01/2002,1,-1.09,-1.09,-1.09,-1.09
11/01/2002,04/01/2003,5,-2.18,-5.94,-1.19,-1.09
02/01/2004,03/01/2004,1,-1.06,-1.06,-1.06,-1.06
03/01/2005,06/01/2005,3,-1.28,-2.78,-0.93,-0.98
02/01/2006,03/01/2006,1,-2.1,-2.1,-2.1,-2.1
09/01/2006,11/01/2006,2,-1.27,-1.85,-0.92,-0.92
01/01/2009,02/01/2009,1,-3.06,-3.06,-3.06,-3.06
08/01/2010,09/01/2010,1,-1.02,-1.02,-1.02,-1.02
10/01/2010,04/01/2011,6,-2.03,-4.87,-0.81,-0.72
09/01/2011,11/01/2011,2,-1.35,-2.64,-1.32,-1.32
07/01/2012,09/01/2012,2,-1.63,-1.96,-0.98,-0.98
08/01/2013,09/01/2013,1,-1.73,-1.73,-1.73,-1.73
03/01/2014,04/01/2014,1,-1.8,-1.8,-1.8,-1.8
05/01/2014,06/01/2014,1,-1.87,-1.87,-1.87,-1.87
03/01/2015,05/01/2015,2,-1.46,-1.91,-0.96,-0.96
06/01/2016,07/01/2016,1,-1.41,-1.41,-1.41,-1.41
02/01/2017,03/01/2017,1,-1.22,-1.22,-1.22,-1.22
07/01/2017,08/01/2017,1,-1.42,-1.42,-1.42,-1.42
09/01/2017,10/01/2017,1,-2.04,-2.04,-2.04,-2.04
12/01/2017,01/01/2018,1,-2.49,-2.49,-2.49,-2.49
04/01/2018,08/01/2018,4,-2.74,-5.64,-1.41,-1.02
04/01/2020,05/01/2020,1,-1.02,-1.02,-1.02,-1.02
08/01/2020,09/01/2020,1,-1.44,-1.44,-1.44,-1.44
02/01/2021,03/01/2021,1,-1.32,-1.32,-1.32,-1.32
11/01/2021,03/01/2022,4,-1.35,-2.27,-0.57,-0.42
08/01/2022,09/01/2022,1,-1.63,-1.63,-1.63,-1.63
10/01/2022,11/01/2022,1,-1.27,-1.27,-1.27,-1.27
04/01/2023,08/01/2023,4,-2.46,-6.43,-1.61,-1.78
09/01/2023,12/01/2023,3,-1.63,-3.35,-1.12,-1.25
02/01/2024,04/01/2024,2,-1.75,-2.07,-1.04,-1.04
