0,1,2,3
-99.0,2,0.68,2.08
-2.8,1,0.34,4.17
-2.3,2,0.68,6.25
-2.2,1,0.34,8.33
-2.0,1,0.34,10.42
-1.9,5,1.71,12.5
-1.8,1,0.34,14.58
-1.7,5,1.71,16.67
-1.6,4,1.37,18.75
-1.5,3,1.02,20.83
-1.4,5,1.71,22.92
-1.3,6,2.05,25.0
-1.2,5,1.71,27.08
-1.1,4,1.37,29.17
-1.0,8,2.73,31.25
-0.9,10,3.41,33.33
-0.8,7,2.39,35.42
-0.7,8,2.73,37.5
-0.6,11,3.75,39.58
-0.5,8,2.73,41.67
-0.4,11,3.75,43.75
-0.3,9,3.07,45.83
-0.2,14,4.78,47.92
-0.1,13,4.44,50.0
0.0,11,3.75,52.08
0.1,6,2.05,54.17
0.2,13,4.44,56.25
0.3,12,4.1,58.33
0.4,8,2.73,60.42
0.5,13,4.44,62.5
0.6,11,3.75,64.58
0.7,7,2.39,66.67
0.8,8,2.73,68.75
0.9,8,2.73,70.83
1.0,6,2.05,72.92
1.1,4,1.37,75.0
1.2,11,3.75,77.08
1.3,2,0.68,79.17
1.4,3,1.02,81.25
1.5,6,2.05,83.33
1.6,4,1.37,85.42
1.7,5,1.71,87.5
1.8,3,1.02,89.58
1.9,2,0.68,91.67
2.0,1,0.34,93.75
2.1,3,1.02,95.83
2.2,1,0.34,97.92
2.3,1,0.34,100.0
