0,1,2,3,4,5,6
10/01/2000,11/01/2000,1,-1.46,-1.46,-1.46,-1.46
12/01/2000,02/01/2001,2,-2.31,-3.47,-1.74,-1.74
04/01/2001,07/01/2001,3,-1.53,-2.78,-0.93,-0.84
08/01/2001,09/01/2001,1,-1.47,-1.47,-1.47,-1.47
02/01/2002,03/01/2002,1,-1.19,-1.19,-1.19,-1.19
07/01/2002,09/01/2002,2,-1.69,-1.75,-0.88,-0.88
11/01/2002,12/01/2002,1,-1.14,-1.14,-1.14,-1.14
01/01/2003,02/01/2003,1,-2.17,-2.17,-2.17,-2.17
03/01/2003,05/01/2003,2,-1.65,-2.34,-1.17,-1.17
09/01/2004,10/01/2004,1,-1.73,-1.73,-1.73,-1.73
05/01/2005,07/01/2005,2,-2.65,-2.95,-1.48,-1.48
10/01/2005,01/01/2006,3,-2.28,-5.11,-1.7,-1.73
04/01/2006,05/01/2006,1,-1.13,-1.13,-1.13,-1.13
03/01/2007,09/01/2007,6,-2.33,-7.39,-1.23,-1.16
06/01/2008,09/01/2008,3,-1.16,-2.63,-0.88,-0.85
03/01/2009,04/01/2009,1,-1.19,-1.19,-1.19,-1.19
11/01/2009,12/01/2009,1,-1.14,-1.14,-1.14,-1.14
02/01/2010,03/01/2010,1,-1.36,-1.36,-1.36,-1.36
06/01/2010,11/01/2010,5,-2.28,-5.86,-1.17,-1.16
01/01/2011,02/01/2011,1,-2.53,-2.53,-2.53,-2.53
07/01/2011,10/01/2011,3,-2.27,-3.58,-1.19,-1.14
04/01/2012,09/01/2012,5,-2.6,-9.01,-1.8,-2.31
03/01/2013,04/01/2013,1,-1.09,-1.09,-1.09,-1.09
01/01/2014,04/01/2014,3,-1.0,-1.91,-0.64,-0.48
07/01/2015,11/01/2015,4,-1.46,-3.52,-0.88,-0.92
10/01/2016,12/01/2016,2,-1.23,-1.5,-0.75,-0.75
02/01/2017,03/01/2017,1,-1.62,-1.62,-1.62,-1.62
09/01/2017,02/01/2018,5,-1.04,-2.19,-0.44,-0.31
07/01/2018,08/01/2018,1,-1.05,-1.05,-1.05,-1.05
06/01/2022,07/01/2022,1,-1.18,-1.18,-1.18,-1.18
09/01/2022,12/01/2022,3,-1.61,-2.95,-0.98,-0.85
11/01/2023,01/01/2024,2,-1.28,-2.4,-1.2,-1.2
02/01/2024,05/01/2024,3,-1.36,-3.1,-1.03,-1.01
