Year      Month     Average
2000      1         0.6600
2000      2         2.5900
2000      3         1.6000
2000      4         1.4900
2000      5         3.5600
2000      6         6.9800
2000      7         3.6900
2000      8         2.8500
2000      9         2.5800
2000      10        3.1200
2000      11        1.2800
2000      12        0.3500
2001      1         2.8500
2001      2         3.7300
2001      3         2.1300
2001      4         3.3700
2001      5         7.1000
2001      6         7.8400
2001      7         6.5500
2001      8         4.8700
2001      9         4.4200
2001      10        3.6100
2001      11        0.4800
2001      12        1.0000
2002      1         1.5300
2002      2         1.1700
2002      3         0.7600
2002      4         5.0200
2002      5         11.6000
2002      6         4.3900
2002      7         4.3900
2002      8         4.9800
2002      9         0.5600
2002      10        3.3500
2002      11        0.3700
2002      12        0.4700
2003      1         0.5100
2003      2         1.8100
2003      3         1.2500
2003      4         3.5100
2003      5         4.2300
2003      6         3.5800
2003      7         2.1900
2003      8         5.9000
2003      9         3.9600
2003      10        1.0100
2003      11        2.9200
2003      12        3.8400
2004      1         0.5700
2004      2         0.3400
2004      3         3.8800
2004      4         3.3100
2004      5         4.8500
2004      6         4.5000
2004      7         5.0500
2004      8         8.6600
2004      9         1.5900
2004      10        3.6500
2004      11        2.8600
2004      12        0.6600
2005      1         2.4000
2005      2         2.8700
2005      3         1.4900
2005      4         2.2900
2005      5         3.8300
2005      6         5.9900
2005      7         1.7600
2005      8         7.5200
2005      9         3.1900
2005      10        3.7400
2005      11        1.2700
2005      12        0.6700
2006      1         1.1500
2006      2         0.1600
2006      3         2.9900
2006      4         2.9300
2006      5         5.3700
2006      6         2.6500
2006      7         3.9200
2006      8         6.7100
2006      9         1.9200
2006      10        3.1800
2006      11        1.8400
2006      12        1.6800
2007      1         0.0000
2007      2         1.2000
2007      3         2.6100
2007      4         2.7000
2007      5         4.7600
2007      6         7.4000
2007      7         1.7200
2007      8         3.3200
2007      9         1.6700
2007      10        4.5200
2007      11        0.4000
2007      12        1.2100
2008      1         0.3900
2008      2         2.8700
2008      3         3.0300
2008      4         4.6900
2008      5         3.8900
2008      6         7.5100
2008      7         8.1200
2008      8         2.5000
2008      9         6.8300
2008      10        3.6300
2008      11        2.1200
2008      12        1.8000
2009      1         0.0000
2009      2         1.3200
2009      3         4.5700
2009      4         5.2200
2009      5         3.7600
2009      6         6.3900
2009      7         3.1000
2009      8         8.1700
2009      9         0.9400
2009      10        7.3100
2009      11        1.9800
2009      12        1.8000
2010      1         0.4900
2010      2         1.1100
2010      3         2.2800
2010      4         5.4000
2010      5         6.0800
2010      6         6.8400
2010      7         7.7600
2010      8         5.3200
2010      9         6.1700
2010      10        0.2100
2010      11        1.4800
2010      12        0.7300
2011      1         0.2300
2011      2         2.2000
2011      3         1.8800
2011      4         4.2000
2011      5         4.4300
2011      6         4.4000
2011      7         4.9500
2011      8         3.6800
2011      9         0.9700
2011      10        0.3500
2011      11        5.5700
2011      12        2.7300
2012      1         0.4200
2012      2         2.2800
2012      3         4.1500
2012      4         2.7200
2012      5         3.5300
2012      6         1.5700
2012      7         1.0300
2012      8         3.6000
2012      9         3.1800
2012      10        2.4500
2012      11        1.4100
2012      12        1.2500
2013      1         1.8600
2013      2         1.6500
2013      3         2.5700
2013      4         6.3800
2013      5         7.9400
2013      6         2.5100
2013      7         1.2900
2013      8         0.8000
2013      9         1.7200
2013      10        3.3500
2013      11        1.9100
2013      12        0.7500
2014      1         0.1700
2014      2         0.3200
2014      3         1.0900
2014      4         4.5600
2014      5         0.5700
2014      6         7.4200
2014      7         2.9100
2014      8         5.6800
2014      9         2.1200
2014      10        7.3400
2014      11        1.1500
2014      12        1.2300
2015      1         1.0900
2015      2         0.8400
2015      3         1.7000
2015      4         2.9700
2015      5         7.4400
2015      6         4.2400
2015      7         7.8000
2015      8         1.5900
2015      9         0.7300
2015      10        2.2400
2015      11        6.1000
2015      12        4.3100
2016      1         0.9700
2016      2         0.3500
2016      3         2.1100
2016      4         3.4100
2016      5         5.0300
2016      6         2.7000
2016      7         6.4200
2016      8         5.0600
2016      9         3.1700
2016      10        3.5400
2016      11        0.4100
2016      12        0.8300
2017      1         0.9600
2017      2         0.4700
2017      3         3.4900
2017      4         5.7000
2017      5         3.7400
2017      6         10.9900
2017      7         3.4000
2017      8         2.5300
2017      9         0.5700
2017      10        5.3200
2017      11        0.2500
2017      12        0.0200
2018      1         0.9800
2018      2         2.7400
2018      3         2.9000
2018      4         0.4900
2018      5         1.8800
2018      6         2.4900
2018      7         3.0100
2018      8         7.2800
2018      9         1.6600
2018      10        5.2200
2018      11        1.0500
2018      12        2.9800
2019      1         1.1800
2019      2         1.6300
2019      3         3.2600
2019      4         6.7000
2019      5         7.3100
2019      6         6.8900
2019      7         4.3800
2019      8         4.0400
2019      9         4.6500
2019      10        2.8000
2019      11        1.2700
2019      12        1.7100
2020      1         1.3200
2020      2         0.7900
2020      3         4.5700
2020      4         2.5800
2020      5         4.5100
2020      6         5.8100
2020      7         4.5900
2020      8         1.7700
2020      9         4.2600
2020      10        1.1900
2020      11        2.7000
2020      12        1.1700
2021      1         1.5500
2021      2         0.1100
2021      3         4.8400
2021      4         3.5300
2021      5         4.0600
2021      6         12.1100
2021      7         3.2700
2021      8         1.8600
2021      9         0.9100
2021      10        4.0800
2021      11        0.4600
2021      12        1.0900
2022      1         0.5900
2022      2         0.5900
2022      3         3.7600
2022      4         1.9700
2022      5         3.0100
2022      6         3.3100
2022      7         3.3700
2022      8         2.1900
2022      9         0.7300
2022      10        1.7600
2022      11        3.4700
2022      12        1.1600
2023      1         3.1100
2023      2         3.1500
2023      3         2.4700
2023      4         1.2000
2023      5         1.2800
2023      6         0.7900
2023      7         1.0700
2023      8         7.8800
2023      9         1.1500
2023      10        3.6900
2023      11        0.9200
2023      12        2.4900
2024      1         1.8100
2024      2         0.0900
2024      3         2.7900
2024      4         5.6300
2024      5         3.6400
