Year      Month     Average
2000      1         0.4300
2000      2         2.8500
2000      3         1.7300
2000      4         2.0700
2000      5         2.5000
2000      6         7.5800
2000      7         2.2600
2000      8         3.9300
2000      9         3.0100
2000      10        2.4100
2000      11        1.8800
2000      12        0.3400
2001      1         2.5400
2001      2         4.3600
2001      3         2.3700
2001      4         2.7800
2001      5         8.2500
2001      6         5.0400
2001      7         2.7300
2001      8         2.6300
2001      9         4.9300
2001      10        3.6500
2001      11        0.8500
2001      12        0.9500
2002      1         0.6500
2002      2         2.0800
2002      3         0.9600
2002      4         6.2600
2002      5         11.0000
2002      6         1.9800
2002      7         3.4500
2002      8         2.6800
2002      9         1.0100
2002      10        2.9400
2002      11        0.2400
2002      12        0.5800
2003      1         0.2900
2003      2         0.8800
2003      3         1.2700
2003      4         6.3000
2003      5         3.6700
2003      6         3.2400
2003      7         3.2700
2003      8         6.1600
2003      9         6.2500
2003      10        2.0700
2003      11        3.0200
2003      12        4.0500
2004      1         0.3400
2004      2         0.4200
2004      3         2.9100
2004      4         3.0700
2004      5         4.7200
2004      6         3.2900
2004      7         2.6400
2004      8         8.1100
2004      9         0.9800
2004      10        6.5200
2004      11        2.8400
2004      12        0.9600
2005      1         2.7400
2005      2         2.1500
2005      3         1.2100
2005      4         2.7000
2005      5         2.2000
2005      6         5.6900
2005      7         2.2400
2005      8         3.2100
2005      9         2.7600
2005      10        3.3500
2005      11        1.3200
2005      12        0.9100
2006      1         2.1100
2006      2         0.0900
2006      3         2.8300
2006      4         2.4500
2006      5         2.5700
2006      6         3.5300
2006      7         3.2200
2006      8         6.7600
2006      9         0.6600
2006      10        2.3600
2006      11        2.1200
2006      12        2.5200
2007      1         0.8300
2007      2         2.6800
2007      3         4.8700
2007      4         4.1700
2007      5         5.5600
2007      6         2.8200
2007      7         1.8600
2007      8         3.6100
2007      9         2.6600
2007      10        3.4000
2007      11        0.7900
2007      12        1.8900
2008      1         0.7800
2008      2         3.9000
2008      3         3.0800
2008      4         4.5800
2008      5         4.4200
2008      6         10.1000
2008      7         10.7000
2008      8         4.2400
2008      9         7.9200
2008      10        3.0400
2008      11        1.5300
2008      12        2.3300
2009      1         0.0100
2009      2         1.6500
2009      3         5.1800
2009      4         4.7800
2009      5         6.7000
2009      6         5.7100
2009      7         4.2400
2009      8         6.5900
2009      9         3.3800
2009      10        8.8400
2009      11        2.5600
2009      12        1.7200
2010      1         1.6800
2010      2         0.8900
2010      3         2.0700
2010      4         5.7300
2010      5         6.2900
2010      6         6.4300
2010      7         12.8500
2010      8         1.7700
2010      9         9.5300
2010      10        0.8200
2010      11        1.4200
2010      12        1.0000
2011      1         0.3200
2011      2         1.1700
2011      3         1.3800
2011      4         4.3300
2011      5         5.2600
2011      6         7.5400
2011      7         1.9800
2011      8         2.2700
2011      9         0.6000
2011      10        1.4600
2011      11        5.5100
2011      12        2.9500
2012      1         0.4400
2012      2         2.1400
2012      3         2.3400
2012      4         4.6900
2012      5         2.4900
2012      6         2.2300
2012      7         0.7300
2012      8         2.9900
2012      9         3.5600
2012      10        3.2500
2012      11        1.4700
2012      12        2.0800
2013      1         1.8500
2013      2         2.2800
2013      3         2.1300
2013      4         7.6200
2013      5         10.2700
2013      6         3.6200
2013      7         1.9000
2013      8         0.0000
2013      9         3.1000
2013      10        4.7700
2013      11        1.2500
2013      12        0.7000
2014      1         0.3500
2014      2         0.9300
2014      3         0.8800
2014      4         4.1600
2014      5         1.0300
2014      6         8.8500
2014      7         2.0100
2014      8         6.4500
2014      9         6.9000
2014      10        4.3700
2014      11        1.0200
2014      12        1.0500
2015      1         1.0000
2015      2         0.8000
2015      3         1.0900
2015      4         2.8100
2015      5         4.6900
2015      6         12.6600
2015      7         10.1200
2015      8         4.1900
2015      9         1.3800
2015      10        2.0400
2015      11        5.7500
2015      12        4.3200
2016      1         0.6600
2016      2         0.8200
2016      3         1.9000
2016      4         2.6200
2016      5         4.2600
2016      6         1.4900
2016      7         4.5800
2016      8         8.1300
2016      9         1.7800
2016      10        2.0400
2016      11        1.5400
2016      12        1.1700
2017      1         0.9200
2017      2         0.3400
2017      3         3.1900
2017      4         6.1600
2017      5         2.4200
2017      6         6.3000
2017      7         0.9200
2017      8         5.6500
2017      9         0.2200
