   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       4        25      2009      0.00  
       4        26      2009      0.00  
       4        27      2009      2.04  
       4        28      2009      0.00  
       4        29      2009      2.54  
       4        30      2009      0.06  
       5         1      2009      0.18  
       5         2      2009      0.00  
       5         3      2009      0.00  
       5         4      2009      0.00  
       5         5      2009      0.00  
       5         6      2009      0.01  
       5         7      2009      0.69  
       5         8      2009      0.77  
       5         9      2009      0.00  
       5        10      2009      0.00  
       5        11      2009      0.01  
       5        12      2009      0.00  
       5        13      2009      0.06  
       5        14      2009      0.00  
       5        15      2009      2.06  
       5        16      2009      0.11  
       5        17      2009      0.00  
       5        18      2009      0.00  
       5        19      2009      0.00  
       5        20      2009      0.00  
       5        21      2009      0.00  
       5        22      2009      0.00  
       5        23      2009      0.00  
       5        24      2009      0.01  
       5        25      2009      0.65  
       5        26      2009      0.04  
       5        27      2009      0.03  
       5        28      2009      0.37  
       5        29      2009      0.00  
       5        30      2009      0.08  
       5        31      2009      0.00  
       6         1      2009      0.00  
       6         2      2009      0.94  
       6         3      2009      0.01  
       6         4      2009      0.00  
       6         5      2009      0.00  
       6         6      2009      0.00  
       6         7      2009      0.06  
       6         8      2009      0.64  
       6         9      2009      0.30  
       6        10      2009      0.59  
       6        11      2009      0.02  
       6        12      2009      0.00  
       6        13      2009      0.00  
       6        14      2009      0.00  
       6        15      2009      1.71  
       6        16      2009      0.96  
       6        17      2009      0.05  
       6        18      2009      0.00  
       6        19      2009      0.00  
       6        20      2009      0.13  
       6        21      2009      0.00  
       6        22      2009      0.00  
       6        23      2009      0.00  
       6        24      2009      0.00  
       6        25      2009      0.00  
       6        26      2009      0.00  
       6        27      2009      0.20  
       6        28      2009      0.00  
       6        29      2009      0.00  
       6        30      2009      0.00  
       7         1      2009      0.00  
       7         2      2009      0.00  
       7         3      2009      0.00  
       7         4      2009      3.40  
       7         5      2009      0.00  
       7         6      2009      0.00  
       7         7      2009      0.00  
       7         8      2009      0.00  
       7         9      2009      0.00  
       7        10      2009      0.04  
       7        11      2009      0.00  
       7        12      2009      0.84  
       7        13      2009      0.00  
       7        14      2009      0.33  
       7        15      2009      0.01  
       7        16      2009      0.00  
       7        17      2009      0.00  
       7        18      2009      0.00  
       7        19      2009      0.00  
       7        20      2009      0.00  
       7        21      2009      0.33  
       7        22      2009      0.00  
       7        23      2009      0.00  
       7        24      2009      0.00  
       7        25      2009      0.00  
       7        26      2009      0.00  
       7        27      2009      0.00  
       7        28      2009      0.08  
       7        29      2009      0.01  
       7        30      2009      0.00  
       7        31      2009      0.00  
       8         1      2009      0.07  
       8         2      2009      0.00  
       8         3      2009      0.00  
       8         4      2009      0.06  
       8         5      2009      0.00  
       8         6      2009      0.00  
       8         7      2009      0.02  
       8         8      2009      0.00  
       8         9      2009      0.02  
       8        10      2009      1.33  
       8        11      2009      0.00  
       8        12      2009      0.00  
       8        13      2009      0.00  
       8        14      2009      0.00  
       8        15      2009      0.00  
       8        16      2009      0.80  
       8        17      2009      0.82  
       8        18      2009      0.00  
       8        19      2009      0.51  
       8        20      2009      0.22  
       8        21      2009      0.00  
       8        22      2009      0.00  
       8        23      2009      0.00  
       8        24      2009      0.00  
       8        25      2009      0.00  
       8        26      2009      0.00  
       8        27      2009      0.16  
       8        28      2009      0.03  
       8        29      2009      0.00  
       8        30      2009      0.00  
       8        31      2009      0.00  
       9         1      2009      0.00  
       9         2      2009      0.00  
       9         3      2009      0.00  
       9         4      2009      0.02  
       9         5      2009      0.02  
       9         6      2009      0.00  
       9         7      2009      0.00  
