   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       4        24      2015      0.00  
       4        25      2015      0.19  
       4        26      2015      0.00  
       4        27      2015      0.00  
       4        28      2015      0.00  
       4        29      2015      0.00  
       4        30      2015      0.00  
       5         1      2015      0.00  
       5         2      2015      0.00  
       5         3      2015      0.01  
       5         4      2015      0.00  
       5         5      2015      0.00  
       5         6      2015      0.00  
       5         7      2015      1.01  
       5         8      2015      0.82  
       5         9      2015      0.03  
       5        10      2015      0.17  
       5        11      2015      0.18  
       5        12      2015      0.00  
       5        13      2015      0.00  
       5        14      2015      0.10  
       5        15      2015      0.66  
       5        16      2015      0.00  
       5        17      2015      0.05  
       5        18      2015      0.00  
       5        19      2015      0.00  
       5        20      2015      0.33  
       5        21      2015      0.00  
       5        22      2015      0.00  
       5        23      2015      0.00  
       5        24      2015      0.13  
       5        25      2015      0.00  
       5        26      2015      0.25  
       5        27      2015      0.00  
       5        28      2015      0.03  
       5        29      2015      0.92  
       5        30      2015      0.73  
       5        31      2015      0.00  
       6         1      2015      0.00  
       6         2      2015      0.00  
       6         3      2015      0.01  
       6         4      2015      0.34  
       6         5      2015      0.00  
       6         6      2015      0.00  
       6         7      2015      0.05  
       6         8      2015      1.18  
       6         9      2015      0.00  
       6        10      2015      0.00  
       6        11      2015      0.00  
       6        12      2015      0.02  
       6        13      2015      0.90  
       6        14      2015      0.04  
       6        15      2015      0.04  
       6        16      2015      0.36  
       6        17      2015      0.39  
       6        18      2015      1.09  
       6        19      2015      0.50  
       6        20      2015      0.00  
       6        21      2015      2.14  
       6        22      2015      0.11  
       6        23      2015      0.00  
       6        24      2015      0.00  
       6        25      2015      2.18  
       6        26      2015      0.45  
       6        27      2015      0.00  
       6        28      2015      0.08  
       6        29      2015      0.19  
       6        30      2015      0.00  
       7         1      2015      0.22  
       7         2      2015      0.10  
       7         3      2015      0.00  
       7         4      2015      0.00  
       7         5      2015      0.00  
       7         6      2015      0.00  
       7         7      2015      0.28  
       7         8      2015      1.44  
       7         9      2015      0.01  
       7        10      2015      0.15  
       7        11      2015      0.00  
       7        12      2015      0.02  
       7        13      2015      0.00  
       7        14      2015      0.00  
       7        15      2015      0.00  
       7        16      2015      0.00  
       7        17      2015      0.00  
       7        18      2015      0.00  
       7        19      2015      1.06  
       7        20      2015      0.66  
       7        21      2015      0.00  
       7        22      2015      0.00  
       7        23      2015      0.00  
       7        24      2015      0.00  
       7        25      2015      0.66  
       7        26      2015      0.47  
       7        27      2015      0.37  
       7        28      2015      0.00  
       7        29      2015      0.00  
       7        30      2015      0.00  
       7        31      2015      0.00  
       8         1      2015      0.00  
       8         2      2015      0.00  
       8         3      2015      0.00  
       8         4      2015      0.00  
       8         5      2015      0.64  
       8         6      2015      0.00  
       8         7      2015      0.00  
       8         8      2015      0.00  
       8         9      2015      0.00  
       8        10      2015      0.00  
       8        11      2015      0.00  
       8        12      2015      0.00  
       8        13      2015      0.00  
       8        14      2015      0.00  
       8        15      2015      0.00  
       8        16      2015      0.00  
       8        17      2015      0.00  
       8        18      2015      1.54  
       8        19      2015      0.03  
       8        20      2015      0.00  
       8        21      2015      0.00  
       8        22      2015      0.21  
       8        23      2015      0.00  
       8        24      2015      0.00  
       8        25      2015      0.00  
       8        26      2015      0.00  
       8        27      2015      0.00  
       8        28      2015      0.00  
       8        29      2015      0.00  
       8        30      2015      0.00  
       8        31      2015      0.00  
       9         1      2015      0.00  
       9         2      2015      0.00  
       9         3      2015      0.00  
       9         4      2015      0.00  
       9         5      2015      0.00  
       9         6      2015      0.00  
