   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       5         6      2006      0.00  
       5         7      2006      0.00  
       5         8      2006      0.00  
       5         9      2006      0.16  
       5        10      2006      0.03  
       5        11      2006      0.10  
       5        12      2006      0.00  
       5        13      2006      0.00  
       5        14      2006      0.03  
       5        15      2006      0.01  
       5        16      2006      0.04  
       5        17      2006      0.00  
       5        18      2006      0.00  
       5        19      2006      0.00  
       5        20      2006      0.00  
       5        21      2006      0.02  
       5        22      2006      0.00  
       5        23      2006      0.00  
       5        24      2006      0.05  
       5        25      2006      0.00  
       5        26      2006      0.00  
       5        27      2006      0.00  
       5        28      2006      0.00  
       5        29      2006      0.33  
       5        30      2006      0.00  
       5        31      2006      0.16  
       6         1      2006      0.84  
       6         2      2006      0.00  
       6         3      2006      0.00  
       6         4      2006      0.00  
       6         5      2006      0.00  
       6         6      2006      0.00  
       6         7      2006      0.00  
       6         8      2006      0.00  
       6         9      2006      0.00  
       6        10      2006      1.00  
       6        11      2006      1.50  
       6        12      2006      0.00  
       6        13      2006      0.00  
       6        14      2006      0.00  
       6        15      2006      0.00  
       6        16      2006      0.00  
       6        17      2006      0.00  
       6        18      2006      0.00  
       6        19      2006      0.00  
       6        20      2006      0.00  
       6        21      2006      0.00  
       6        22      2006      0.18  
       6        23      2006      0.00  
       6        24      2006      0.00  
       6        25      2006      0.00  
       6        26      2006      0.00  
       6        27      2006      0.00  
       6        28      2006      0.00  
       6        29      2006      0.04  
       6        30      2006      0.00  
       7         1      2006      0.00  
       7         2      2006      0.00  
       7         3      2006      0.46  
       7         4      2006      0.01  
       7         5      2006      0.00  
       7         6      2006      0.00  
       7         7      2006      0.00  
       7         8      2006      0.00  
       7         9      2006      0.00  
       7        10      2006      0.06  
       7        11      2006      1.02  
       7        12      2006      0.12  
       7        13      2006      1.96  
       7        14      2006      0.15  
       7        15      2006      0.00  
       7        16      2006      0.00  
       7        17      2006      0.00  
       7        18      2006      0.00  
       7        19      2006      0.00  
       7        20      2006      0.00  
       7        21      2006      0.00  
       7        22      2006      0.00  
       7        23      2006      0.00  
       7        24      2006      0.00  
       7        25      2006      0.00  
       7        26      2006      0.00  
       7        27      2006      0.00  
       7        28      2006      0.00  
       7        29      2006      0.00  
       7        30      2006      0.00  
       7        31      2006      0.00  
       8         1      2006      0.00  
       8         2      2006      0.00  
       8         3      2006      0.00  
       8         4      2006      0.00  
       8         5      2006      0.00  
       8         6      2006      0.00  
       8         7      2006      0.00  
       8         8      2006      0.00  
       8         9      2006      0.00  
       8        10      2006      0.00  
       8        11      2006      0.00  
       8        12      2006      0.00  
       8        13      2006      0.00  
       8        14      2006      0.00  
       8        15      2006      0.00  
       8        16      2006      0.00  
       8        17      2006      0.00  
       8        18      2006      2.02  
       8        19      2006      0.00  
       8        20      2006      0.00  
       8        21      2006      0.00  
       8        22      2006      0.00  
       8        23      2006      0.00  
       8        24      2006      0.00  
       8        25      2006      0.45  
       8        26      2006      2.00  
       8        27      2006      0.24  
       8        28      2006      0.02  
       8        29      2006      0.01  
       8        30      2006      0.00  
       8        31      2006      0.00  
       9         1      2006      0.00  
       9         2      2006      0.00  
       9         3      2006      0.00  
       9         4      2006      0.09  
       9         5      2006      0.01  
       9         6      2006      0.00  
       9         7      2006      0.00  
       9         8      2006      0.00  
       9         9      2006      0.00  
       9        10      2006      0.15  
       9        11      2006      1.34  
       9        12      2006      0.04  
       9        13      2006      0.00  
       9        14      2006      0.00  
       9        15      2006      0.00  
       9        16      2006      0.00  
       9        17      2006      0.10  
       9        18      2006      0.00  
