   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
       1         1      2011      0.00  
       1         2      2011      0.00  
       1         3      2011      0.00  
       1         4      2011      0.00  
       1         5      2011      0.00  
       1         6      2011      0.00  
       1         7      2011      0.00  
       1         8      2011      0.00  
       1         9      2011      0.00  
       1        10      2011      0.00  
       1        11      2011      0.00  
       1        12      2011      0.00  
       1        13      2011      0.00  
       1        14      2011      0.05  
       1        15      2011      0.05  
       1        16      2011      0.00  
       1        17      2011      0.07  
       1        18      2011      0.00  
       1        19      2011      0.00  
       1        20      2011      0.00  
       1        21      2011      0.00  
       1        22      2011      0.14  
       1        23      2011      0.00  
       1        24      2011      0.06  
       1        25      2011      0.02  
       1        26      2011      0.00  
       1        27      2011      0.00  
       1        28      2011      0.00  
       1        29      2011      0.00  
       1        30      2011      0.00  
       1        31      2011      0.00  
       2         1      2011      0.00  
       2         2      2011      0.00  
       2         3      2011      0.05  
       2         4      2011      0.00  
       2         5      2011      0.29  
       2         6      2011      0.00  
       2         7      2011      0.00  
       2         8      2011      0.00  
       2         9      2011      0.00  
       2        10      2011      0.01  
       2        11      2011      0.00  
       2        12      2011      0.00  
       2        13      2011      0.00  
       2        14      2011      0.00  
       2        15      2011      0.00  
       2        16      2011      0.00  
       2        17      2011      0.00  
       2        18      2011      0.00  
       2        19      2011      0.42  
       2        20      2011      0.12  
       2        21      2011      0.35  
       2        22      2011      0.00  
       2        23      2011      0.04  
       2        24      2011      0.27  
       2        25      2011      0.00  
       2        26      2011      0.44  
       2        27      2011      0.74  
       2        28      2011      0.00  
       3         1      2011      0.00  
       3         2      2011      0.00  
       3         3      2011      0.00  
       3         4      2011      0.85  
       3         5      2011      0.00  
       3         6      2011      0.00  
       3         7      2011      0.00  
       3         8      2011      0.62  
       3         9      2011      0.07  
       3        10      2011      0.00  
       3        11      2011      0.00  
       3        12      2011      0.00  
       3        13      2011      0.06  
       3        14      2011      0.26  
       3        15      2011      0.86  
       3        16      2011      0.00  
       3        17      2011      0.00  
       3        18      2011      0.01  
       3        19      2011      0.32  
       3        20      2011      0.00  
       3        21      2011      0.00  
       3        22      2011      0.00  
       3        23      2011      0.00  
       3        24      2011      0.00  
       3        25      2011      0.22  
       3        26      2011      0.00  
       3        27      2011      0.15  
       3        28      2011      0.00  
       3        29      2011      0.02  
       3        30      2011      0.05  
       3        31      2011      0.00  
       4         1      2011      0.00  
       4         2      2011      0.00  
       4         3      2011      0.44  
       4         4      2011      0.08  
       4         5      2011      0.00  
       4         6      2011      0.00  
       4         7      2011      0.00  
       4         8      2011      0.39  
       4         9      2011      0.00  
       4        10      2011      0.35  
       4        11      2011      0.00  
       4        12      2011      0.00  
       4        13      2011      0.00  
       4        14      2011      0.00  
       4        15      2011      0.78  
       4        16      2011      0.06  
       4        17      2011      0.00  
       4        18      2011      0.00  
       4        19      2011      0.30  
       4        20      2011      0.00  
       4        21      2011      0.14  
       4        22      2011      0.52  
       4        23      2011      0.00  
       4        24      2011      0.01  
       4        25      2011      0.32  
       4        26      2011      0.06  
       4        27      2011      0.00  
       4        28      2011      0.00  
       4        29      2011      0.00  
       4        30      2011      0.00  
       5         1      2011      0.28  
       5         2      2011      0.01  
       5         3      2011      0.00  
       5         4      2011      0.00  
       5         5      2011      0.11  
       5         6      2011      0.00  
       5         7      2011      0.02  
       5         8      2011      0.00  
       5         9      2011      0.00  
       5        10      2011      0.00  
       5        11      2011      0.00  
       5        12      2011      1.34  
       5        13      2011      0.95  
       5        14      2011      0.03  
       5        15      2011      0.27  
       5        16      2011      0.00  
