   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
      10        27      2007      0.00  
      10        28      2007      0.00  
      10        29      2007      0.00  
      10        30      2007      0.00  
      10        31      2007      0.00  
      11         1      2007      0.00  
      11         2      2007      0.00  
      11         3      2007      0.00  
      11         4      2007      0.00  
      11         5      2007      0.00  
      11         6      2007      0.00  
      11         7      2007      0.00  
      11         8      2007      0.00  
      11         9      2007      0.00  
      11        10      2007      0.00  
      11        11      2007      0.00  
      11        12      2007      0.46  
      11        13      2007      0.00  
      11        14      2007      0.01  
      11        15      2007      0.00  
      11        16      2007      0.00  
      11        17      2007      0.00  
      11        18      2007      0.00  
      11        19      2007      0.00  
      11        20      2007      0.00  
      11        21      2007      0.00  
      11        22      2007      0.00  
      11        23      2007      0.00  
      11        24      2007      0.00  
      11        25      2007      0.18  
      11        26      2007      0.12  
      11        27      2007      0.00  
      11        28      2007      0.00  
      11        29      2007      0.00  
      11        30      2007      0.00  
      12         1      2007      0.00  
      12         2      2007      0.09  
      12         3      2007      0.00  
      12         4      2007      0.00  
      12         5      2007      0.00  
      12         6      2007      0.00  
      12         7      2007      0.04  
      12         8      2007      0.04  
      12         9      2007      0.57  
      12        10      2007      0.26  
      12        11      2007      0.54  
      12        12      2007      0.28  
      12        13      2007      0.00  
      12        14      2007      0.14  
      12        15      2007      0.12  
      12        16      2007      0.25  
      12        17      2007      0.00  
      12        18      2007      0.00  
      12        19      2007      0.00  
      12        20      2007      0.00  
      12        21      2007      0.01  
      12        22      2007      0.18  
      12        23      2007      0.00  
      12        24      2007      0.00  
      12        25      2007      0.00  
      12        26      2007      0.06  
      12        27      2007      0.04  
      12        28      2007      0.06  
      12        29      2007      0.00  
      12        30      2007      0.00  
      12        31      2007      0.00  
       1         1      2008      0.00  
       1         2      2008      0.00  
       1         3      2008      0.00  
       1         4      2008      0.00  
       1         5      2008      0.00  
       1         6      2008      0.00  
       1         7      2008      0.00  
       1         8      2008      0.99  
       1         9      2008      0.00  
       1        10      2008      0.00  
       1        11      2008      0.00  
       1        12      2008      0.00  
       1        13      2008      0.00  
       1        14      2008      0.00  
       1        15      2008      0.00  
       1        16      2008      0.00  
       1        17      2008      0.01  
       1        18      2008      0.00  
       1        19      2008      0.00  
       1        20      2008      0.00  
       1        21      2008      0.00  
       1        22      2008      0.00  
       1        23      2008      0.01  
       1        24      2008      0.00  
       1        25      2008      0.00  
       1        26      2008      0.00  
       1        27      2008      0.00  
       1        28      2008      0.00  
       1        29      2008      0.00  
       1        30      2008      0.00  
       1        31      2008      0.00  
       2         1      2008      0.14  
       2         2      2008      0.00  
       2         3      2008      0.00  
       2         4      2008      0.00  
       2         5      2008      1.70  
       2         6      2008      0.00  
       2         7      2008      0.00  
       2         8      2008      0.00  
       2         9      2008      0.00  
       2        10      2008      0.00  
       2        11      2008      0.00  
       2        12      2008      0.00  
       2        13      2008      0.55  
       2        14      2008      0.92  
       2        15      2008      0.00  
       2        16      2008      1.28  
       2        17      2008      0.32  
       2        18      2008      0.00  
       2        19      2008      0.00  
       2        20      2008      0.00  
       2        21      2008      0.00  
       2        22      2008      0.00  
       2        23      2008      0.01  
       2        24      2008      0.01  
       2        25      2008      0.01  
       2        26      2008      0.00  
       2        27      2008      0.00  
       2        28      2008      0.00  
       2        29      2008      0.00  
       3         1      2008      0.00  
       3         2      2008      0.00  
       3         3      2008      2.36  
       3         4      2008      0.06  
       3         5      2008      0.00  
       3         6      2008      0.00  
       3         7      2008      0.00  
       3         8      2008      0.00  
       3         9      2008      0.00  
       3        10      2008      0.00  
