   MONTH       DAY      YEAR     TOTAL  
                                PRECIP  
                                INCHES  
      10        23      2008      0.34  
      10        24      2008      0.27  
      10        25      2008      0.00  
      10        26      2008      0.00  
      10        27      2008      0.00  
      10        28      2008      0.00  
      10        29      2008      0.00  
      10        30      2008      0.00  
      10        31      2008      0.00  
      11         1      2008      0.00  
      11         2      2008      0.00  
      11         3      2008      0.00  
      11         4      2008      0.00  
      11         5      2008      0.00  
      11         6      2008      0.15  
      11         7      2008      0.00  
      11         8      2008      0.00  
      11         9      2008      0.00  
      11        10      2008      0.00  
      11        11      2008      0.29  
      11        12      2008      0.00  
      11        13      2008      0.00  
      11        14      2008      0.19  
      11        15      2008      0.01  
      11        16      2008      0.00  
      11        17      2008      0.00  
      11        18      2008      0.00  
      11        19      2008      0.00  
      11        20      2008      0.00  
      11        21      2008      0.00  
      11        22      2008      0.00  
      11        23      2008      0.00  
      11        24      2008      0.00  
      11        25      2008      0.00  
      11        26      2008      0.00  
      11        27      2008      0.00  
      11        28      2008      0.00  
      11        29      2008      0.07  
      11        30      2008      0.34  
      12         1      2008      0.00  
      12         2      2008      0.00  
      12         3      2008      0.00  
      12         4      2008      0.01  
      12         5      2008      0.00  
      12         6      2008      0.00  
      12         7      2008      0.00  
      12         8      2008      0.00  
      12         9      2008      0.29  
      12        10      2008      0.01  
      12        11      2008      0.00  
      12        12      2008      0.00  
      12        13      2008      0.00  
      12        14      2008      0.27  
      12        15      2008      0.00  
      12        16      2008      0.00  
      12        17      2008      0.05  
      12        18      2008      0.01  
      12        19      2008      0.47  
      12        20      2008      0.00  
      12        21      2008      0.00  
      12        22      2008      0.00  
      12        23      2008      0.23  
      12        24      2008      0.12  
      12        25      2008      0.00  
      12        26      2008      0.00  
      12        27      2008      1.19  
      12        28      2008      0.00  
      12        29      2008      0.00  
      12        30      2008      0.00  
      12        31      2008      0.00  
       1         1      2009      0.00  
       1         2      2009      0.00  
       1         3      2009      0.00  
       1         4      2009      0.00  
       1         5      2009      0.00  
       1         6      2009      0.00  
       1         7      2009      0.00  
       1         8      2009      0.00  
       1         9      2009      0.00  
       1        10      2009      0.00  
       1        11      2009      0.00  
       1        12      2009      0.00  
       1        13      2009      0.00  
       1        14      2009      0.00  
       1        15      2009      0.00  
       1        16      2009      0.00  
       1        17      2009      0.00  
       1        18      2009      0.00  
       1        19      2009      0.00  
       1        20      2009      0.00  
       1        21      2009      0.00  
       1        22      2009      0.00  
       1        23      2009      0.00  
       1        24      2009      0.00  
       1        25      2009      0.00  
       1        26      2009      0.00  
       1        27      2009      0.00  
       1        28      2009      0.00  
       1        29      2009      0.05  
       1        30      2009      0.00  
       1        31      2009      0.00  
       2         1      2009      0.00  
       2         2      2009      0.00  
       2         3      2009      0.00  
       2         4      2009      0.00  
       2         5      2009      0.00  
       2         6      2009      0.00  
       2         7      2009      0.00  
       2         8      2009      0.00  
       2         9      2009      0.12  
       2        10      2009      0.20  
       2        11      2009      1.21  
       2        12      2009      0.00  
       2        13      2009      0.00  
       2        14      2009      0.00  
       2        15      2009      0.00  
       2        16      2009      0.00  
       2        17      2009      0.00  
       2        18      2009      0.00  
       2        19      2009      0.00  
       2        20      2009      0.00  
       2        21      2009      0.00  
       2        22      2009      0.00  
       2        23      2009      0.00  
       2        24      2009      0.00  
       2        25      2009      0.00  
       2        26      2009      1.56  
       2        27      2009      0.00  
       2        28      2009      0.00  
       3         1      2009      0.00  
       3         2      2009      0.00  
       3         3      2009      0.00  
       3         4      2009      0.00  
       3         5      2009      0.00  
       3         6      2009      0.00  
       3         7      2009      0.01  
