Year      Month     Average
2019      8         0.2916
2019      9         0.1400
2019      10        0.1084
2019      11        0.0360
2019      12        0.0706
2020      1         0.0723
2020      2         0.0321
2020      3         0.1561
2020      4         0.1340
2020      5         0.1058
2020      6         0.1417
2020      7         0.3052
2020      8         0.0700
2020      9         0.1260
2020      10        0.0397
2020      11        0.0670
2020      12        0.0394
2021      1         0.0781
2021      2         0.0036
2021      3         0.1645
2021      4         0.1050
2021      5         0.1300
2021      6         0.3693
2021      7         0.0371
2021      8         0.0700
2021      9         0.0767
2021      10        0.1719
2021      11        0.0243
2021      12        0.0235
2022      1         0.0171
2022      2         0.0300
2022      3         0.1565
2022      4         0.0827
2022      5         0.1061
2022      6         0.0597
2022      7         0.0894
2022      8         0.0665
2022      9         0.0307
2022      10        0.0642
2022      11        0.1423
2022      12        0.0213
2023      1         0.0616
2023      2         0.1043
2023      3         0.0955
2023      4         0.0180
2023      5         0.1071
2023      6         0.0823
2023      7         0.1142
2023      8         0.1706
2023      9         0.0360
2023      10        0.1068
2023      11        0.0497
2023      12        0.1155
2024      1         0.0513
2024      2         0.0041
2024      3         0.0629
2024      4         0.2100
2024      5         0.1268
