Year      Month     Average
2011      1         0.0126
2011      2         0.0975
2011      3         0.1126
2011      4         0.1150
2011      5         0.2310
2011      6         0.0967
2011      7         0.0345
2011      8         0.0994
2011      9         0.0893
2011      10        0.0281
2011      11        0.1427
2011      12        0.0958
2012      1         0.0229
2012      2         0.0866
2012      3         0.1342
2012      4         0.2190
2012      5         0.0306
2012      6         0.0447
2012      7         0.0355
2012      8         0.0594
2012      9         0.0587
2012      10        0.0852
2012      11        0.0473
2012      12        0.0352
2013      1         0.0858
2013      2         0.0779
2013      3         0.1068
2013      4         0.2273
2013      5         0.3132
2013      6         0.0637
2013      7         0.0613
2013      8         0.0629
2013      9         0.0940
2013      10        0.0984
2013      11        0.0487
2013      12        0.0526
2014      1         0.0174
2014      2         0.0196
2014      3         0.0500
2014      4         0.2183
2014      5         0.0655
2014      6         0.2013
2014      7         0.0603
2014      8         0.1048
2014      9         0.2180
2014      10        0.2829
2014      11        0.0300
2014      12        0.0619
2015      1         0.0290
2015      2         0.0357
2015      3         0.0652
2015      4         0.0903
2015      5         0.1594
2015      6         0.1850
2015      7         0.2861
2015      8         0.0852
2015      9         0.0307
2015      10        0.0381
2015      11        0.2697
2015      12        0.1961
2016      1         0.0239
2016      2         0.0179
2016      3         0.0694
2016      4         0.0667
2016      5         0.1055
2016      6         0.0420
2016      7         0.3526
2016      8         0.0910
2016      9         0.1562
2016      10        0.0394
2016      11        0.0433
2016      12        0.0455
2017      1         0.0326
2017      2         0.0050
2017      3         0.0865
2017      4         0.2893
2017      5         0.1400
2017      6         0.1367
2017      7         0.1035
2017      8         0.0926
2017      9         0.0425
2017      10        0.1284
2017      11        0.0203
2017      12        0.0081
2018      1         0.0558
2018      2         0.1054
2018      3         0.1126
2018      4         0.0133
2018      5         0.0839
2018      6         0.1203
2018      7         0.0365
2018      8         0.1048
2018      9         0.0350
2018      10        0.2023
2018      11        0.0973
2018      12        0.1368
2019      1         0.0587
2019      2         0.0407
2019      3         0.1235
2019      4         0.1583
2019      5         0.1439
2019      6         0.1740
2019      7         0.1100
2019      8         0.1323
2019      9         0.0860
2019      10        0.1377
2019      11        0.0720
2019      12        0.0545
2020      1         0.1271
2020      2         0.0728
2020      3         0.1803
2020      4         0.1380
2020      5         0.1000
2020      6         0.1763
2020      7         0.1406
2020      8         0.1410
2020      9         0.1217
2020      10        0.0635
2020      11        0.0783
2020      12        0.0216
2021      1         0.0971
2021      2         0.0193
2021      3         0.1842
2021      4         0.2037
2021      5         0.1545
2021      6         0.3907
2021      7         0.1387
2021      8         0.0545
2021      9         0.0773
2021      10        0.1881
2021      11        0.0283
2021      12        0.0419
2022      1         0.0300
2022      2         0.0571
2022      3         0.1277
2022      4         0.1433
2022      5         0.1594
2022      6         0.0560
2022      7         0.0606
2022      8         0.0513
2022      9         0.0453
2022      10        0.1119
2022      11        0.0740
2022      12        0.0381
2023      1         0.0423
2023      2         0.0921
2023      3         0.0887
2023      4         0.0183
2023      5         0.0500
2023      6         0.0870
2023      7         0.1077
2023      8         0.1368
2023      9         0.0093
2023      10        0.0877
2023      11        0.0317
2023      12        0.0813
2024      1         0.0803
2024      2         0.0028
2024      3         0.0884
2024      4         0.1363
2024      5         0.0965
