Year      Month     Average
2000      1         0.0258
2000      2         0.0721
2000      3         0.0997
2000      4         0.0590
2000      5         0.1468
2000      6         0.2970
2000      7         0.2161
2000      8         0.0010
2000      9         0.0973
2000      10        0.1265
2000      11        0.0563
2000      12        0.0200
2001      1         0.1142
2001      2         0.1471
2001      3         0.0400
2001      4         0.1237
2001      5         0.2300
2001      6         0.1953
2001      7         0.1106
2001      8         0.0735
2001      9         0.0747
2001      10        0.1874
2001      11        0.0603
2001      12        0.0594
2002      1         0.0887
2002      2         0.0232
2002      3         0.0545
2002      4         0.0923
2002      5         0.3419
2002      6         0.1147
2002      7         0.0932
2002      8         0.0348
2002      9         0.0800
2002      10        0.0516
2002      11        0.0247
2002      12        0.0419
2003      1         0.0084
2003      2         0.0911
2003      3         0.0965
2003      4         0.1103
2003      5         0.1565
2003      6         0.1003
2003      7         0.0406
2003      8         0.1894
2003      9         0.1667
2003      10        0.0510
2003      11        0.0890
2003      12        0.1432
2004      1         0.0777
2004      2         0.0386
2004      3         0.1723
2004      4         0.1960
2004      5         0.1513
2004      6         0.1983
2004      7         0.1255
2004      8         0.0868
2004      9         0.0287
2004      10        0.1823
2004      11        0.2283
2004      12        0.0513
2005      1         0.1594
2005      2         0.0764
2005      3         0.0326
2005      4         0.1007
2005      5         0.0839
2005      6         0.1387
2005      7         0.0506
2005      8         0.1184
2005      9         0.0977
2005      10        0.0381
2005      11        0.0427
2005      12        0.0135
2006      1         0.0306
2006      2         0.0004
2006      3         0.0674
2006      4         0.1433
2006      5         0.1771
2006      6         0.1480
2006      7         0.0697
2006      8         0.0513
2006      9         0.0273
2006      10        0.0742
2006      11        0.0593
2006      12        0.0861
2007      1         0.0455
2007      2         0.0718
2007      3         0.1352
2007      4         0.1293
2007      5         0.1574
2007      6         0.6560
2007      7         0.0939
2007      8         0.0429
2007      9         0.1190
2007      10        0.1245
2007      11        0.0370
2007      12        0.0581
2008      1         0.0219
2008      2         0.1066
2008      3         0.1932
2008      4         0.2460
2008      5         0.3484
2008      6         0.3450
2008      7         0.1597
2008      8         0.0406
2008      9         0.3080
2008      10        0.0806
2008      11        0.0417
2008      12        0.0665
2009      1         0.0029
2009      2         0.0700
2009      3         0.1139
2009      4         0.1183
2009      5         0.1784
2009      6         0.2177
2009      7         0.1510
2009      8         0.0865
2009      9         0.1967
2009      10        0.2210
2009      11        0.0627
2009      12        0.0445
2010      1         0.0426
2010      2         0.0489
2010      3         0.0819
2010      4         0.0793
2010      5         0.2123
2010      6         0.1137
