Year      Month     Average
2017      10        0.0000
2017      11        0.0110
2017      12        0.0139
2018      1         0.0368
2018      2         0.1164
2018      3         0.2071
2018      4         0.0120
2018      5         0.0655
2018      6         0.0873
2018      7         0.1274
2018      8         0.1442
2018      9         0.0947
2018      10        0.1113
2018      11        0.0533
2018      12        0.1171
2019      1         0.0545
2019      2         0.0639
2019      3         0.1110
2019      4         0.1760
2019      5         0.2087
2019      6         0.1393
2019      7         0.0945
2019      8         0.1219
2019      9         0.1457
2019      10        0.1077
2019      11        0.0377
2019      12        0.0613
2020      1         0.0829
2020      2         0.0345
2020      3         0.1758
2020      4         0.1007
2020      5         0.0997
2020      6         0.1100
2020      7         0.2339
2020      8         0.0626
2020      9         0.1100
2020      10        0.0323
2020      11        0.0720
2020      12        0.0274
2021      1         0.0552
2021      2         0.0061
2021      3         0.1848
2021      4         0.1680
2021      5         0.1952
2021      6         0.5150
2021      7         0.0890
2021      8         0.0600
2021      9         0.0660
2021      10        0.1303
2021      11        0.0247
2021      12        0.0268
2022      1         0.0177
2022      2         0.0211
2022      3         0.1448
2022      4         0.0890
2022      5         0.1090
2022      6         0.0693
2022      7         0.0952
2022      8         0.0826
2022      9         0.0447
2022      10        0.0703
2022      11        0.1303
2022      12        0.0365
2023      1         0.0500
2023      2         0.0896
2023      3         0.0865
2023      4         0.0100
2023      5         0.0661
2023      6         0.0573
2023      7         0.0868
2023      8         0.2158
2023      9         0.0423
2023      10        0.0645
2023      11        0.0447
2023      12        0.1035
2024      1         0.0606
2024      2         0.0007
2024      3         0.0442
2024      4         0.2183
2024      5         0.1835
