Year      Month     Average
2000      5         0.0000
2000      6         0.1977
2000      7         0.0745
2000      8         0.1294
2000      9         0.0693
2000      10        0.0987
2000      11        0.0557
2000      12        0.0123
2001      1         0.1081
2001      2         0.1136
2001      3         0.0600
2001      4         0.0920
2001      5         0.1781
2001      6         0.1497
2001      7         0.0894
2001      8         0.1432
2001      9         0.0807
2001      10        0.1361
2001      11        0.0803
2001      12        0.0284
2002      1         0.0981
2002      2         0.0275
2002      3         0.0387
2002      4         0.1667
2002      5         0.2658
2002      6         0.0870
2002      7         0.0910
2002      8         0.1055
2002      9         0.0263
2002      10        0.1058
2002      11        0.0103
2002      12        0.0297
2003      1         0.0145
2003      2         0.0454
2003      3         0.0768
2003      4         0.1037
2003      5         0.1177
2003      6         0.1363
2003      7         0.0352
2003      8         0.1603
2003      9         0.1287
2003      10        0.0481
2003      11        0.0713
2003      12        0.0855
2004      1         0.0210
2004      2         0.0114
2004      3         0.1000
2004      4         0.0747
2004      5         0.0955
2004      6         0.0417
2004      7         0.0958
2004      8         0.2935
2004      9         0.0360
2004      10        0.1423
2004      11        0.1343
2004      12        0.0519
2005      1         0.1484
2005      2         0.0804
2005      3         0.0316
2005      4         0.0717
2005      5         0.0477
2005      6         0.0750
2005      7         0.0277
2005      8         0.1471
2005      9         0.0797
2005      10        0.0890
2005      11        0.0477
2005      12        0.0361
2006      1         0.0758
2006      2         0.0046
2006      3         0.1126
2006      4         0.0677
2006      5         0.0419
2006      6         0.1443
2006      7         0.0735
2006      8         0.1055
2006      9         0.0763
2006      10        0.0752
2006      11        0.1097
2006      12        0.0529
2007      1         0.0587
2007      2         0.0704
2007      3         0.0877
2007      4         0.1093
2007      5         0.0926
2007      6         0.1520
2007      7         0.0384
2007      8         0.1594
2007      9         0.0473
2007      10        0.0958
2007      11        0.0560
2007      12        0.0819
2008      1         0.0616
2008      2         0.1376
2008      3         0.1039
2008      4         0.1587
2008      5         0.0881
2008      6         0.2247
2008      7         0.3861
2008      8         0.0697
2008      9         0.3470
2008      10        0.0877
2008      11        0.0310
2008      12        0.0910
2009      1         0.0003
2009      2         0.0621
2009      3         0.1568
2009      4         0.2373
2009      5         0.1487
2009      6         0.0953
2009      7         0.0787
2009      8         0.2152
2009      9         0.1170
2009      10        0.2481
2009      11        0.1050
2009      12        0.0832
2010      1         0.0448
2010      2         0.0457
2010      3         0.0674
2010      4         0.2110
2010      5         0.1635
2010      6         0.2040
2010      7         0.3226
2010      8         0.0990
2010      9         0.2847
2010      10        0.0371
2010      11        0.0357
2010      12        0.0355
2011      1         0.0113
2011      2         0.0611
2011      3         0.0394
2011      4         0.1090
2011      5         0.1181
2011      6         0.0947
2011      7         0.0377
2011      8         0.0413
2011      9         0.0183
2011      10        0.0384
2011      11        0.1633
2011      12        0.1326
2012      1         0.0074
2012      2         0.0379
2012      3         0.0674
2012      4         0.1267
2012      5         0.0255
2012      6         0.0700
2012      7         0.0690
2012      8         0.0929
2012      9         0.0920
2012      10        0.1268
2012      11        0.0460
2012      12        0.0277
2013      1         0.0865
2013      2         0.0657
2013      3         0.0806
2013      4         0.2877
2013      5         0.3039
2013      6         0.1233
2013      7         0.0613
2013      8         0.0439
2013      9         0.0937
