Year      Month     Average
2018      9         0.2292
2018      10        0.0987
2018      11        0.1497
2018      12        0.2277
2019      1         0.1200
2019      2         0.1814
2019      3         0.2035
2019      4         0.1883
2019      5         0.2303
2019      6         0.1890
2019      7         0.2652
2019      8         0.1745
2019      9         0.0390
2019      10        0.1245
2019      11        0.1020
2019      12        0.0390
2020      1         0.2058
2020      2         0.0779
2020      3         0.1168
2020      4         0.1497
2020      5         0.1352
2020      6         0.1387
2020      7         0.2181
2020      8         0.1948
2020      9         0.0423
2020      10        0.1165
2020      11        0.1283
2020      12        0.0365
2021      1         0.1274
2021      2         0.0364
2021      3         0.1561
2021      4         0.1220
2021      5         0.0906
2021      6         0.1503
2021      7         0.1919
2021      8         0.1716
2021      9         0.1240
2021      10        0.1061
2021      11        0.0150
2021      12        0.0561
2022      1         0.0465
2022      2         0.1311
2022      3         0.1848
2022      4         0.0917
2022      5         0.1884
2022      6         0.0470
2022      7         0.4306
2022      8         0.0806
2022      9         0.0830
2022      10        0.0965
2022      11        0.0910
2022      12        0.0635
2023      1         0.0890
2023      2         0.0632
2023      3         0.1887
2023      4         0.0580
2023      5         0.1023
2023      6         0.1873
2023      7         0.1642
2023      8         0.1142
2023      9         0.0490
2023      10        0.0571
2023      11        0.0283
2023      12        0.0671
2024      1         0.1261
2024      2         0.0059
2024      3         0.0706
2024      4         0.2587
2024      5         0.2216
