Year      Month     Average
2017      8         3.4300
2017      9         0.0090
2017      10        0.0314
2017      11        0.0450
2017      12        0.1177
2018      1         0.0806
2018      2         0.4114
2018      3         0.1065
2018      4         0.1593
2018      5         0.1384
2018      6         0.0653
2018      7         0.0455
2018      8         0.3303
2018      9         0.1957
2018      10        0.1106
2018      11        0.1727
2018      12        0.1374
2019      1         0.1435
2019      2         0.4211
2019      3         0.1245
2019      4         0.2063
2019      5         0.2352
2019      6         0.1280
2019      7         0.2213
2019      8         0.1032
2019      9         0.1160
2019      10        0.2929
2019      11        0.1957
2019      12        0.0816
2020      1         0.2000
2020      2         0.1731
2020      3         0.2319
2020      4         0.1463
2020      5         0.1239
2020      6         0.1230
2020      7         0.0223
2020      8         0.1035
2020      9         0.1170
2020      10        0.2123
2020      11        0.0700
2020      12        0.0903
2021      1         0.1294
2021      2         0.1325
2021      3         0.1890
2021      4         0.1303
2021      5         0.1323
2021      6         0.1257
2021      7         0.1752
2021      8         0.0677
2021      9         0.0257
2021      10        0.1158
2021      11        0.0613
2021      12        0.1342
2022      1         0.1906
2022      2         0.1096
2022      3         0.1235
2022      4         0.1833
2022      5         0.1397
2022      6         0.0307
2022      7         0.1068
2022      8         0.0948
2022      9         0.0713
2022      10        0.0842
2022      11        0.0727
2022      12        0.2003
2023      1         0.2003
2023      2         0.1186
2023      3         0.2735
2023      4         0.1107
2023      5         0.0513
2023      6         0.0813
2023      7         0.1303
2023      8         0.1810
2023      9         0.1483
2023      10        0.1713
2023      11        0.0757
2023      12        0.0552
2024      1         0.2616
2024      2         0.0748
2024      3         0.0823
2024      4         0.0470
2024      5         0.2742
