Year      Month     Average
2000      1         0.0029
2000      2         0.0497
2000      3         0.0519
2000      4         0.0653
2000      5         0.0684
2000      6         0.1813
2000      7         0.1310
2000      8         0.1465
2000      9         0.1090
2000      10        0.0774
2000      11        0.0937
2000      12        0.0023
2001      1         0.0681
2001      2         0.0982
2001      3         0.0616
2001      4         0.0903
2001      5         0.1355
2001      6         0.2977
2001      7         0.2300
2001      8         0.0952
2001      9         0.1697
2001      10        0.0668
2001      11        0.0260
2001      12        0.0126
2002      1         0.0048
2002      2         0.0168
2002      3         0.0323
2002      4         0.1403
2002      5         0.2035
2002      6         0.0543
2002      7         0.0235
2002      8         0.0923
2002      9         0.0300
2002      10        0.1168
2002      11        0.0130
2002      12        0.0003
2003      1         0.0052
2003      2         0.0179
2003      3         0.0332
2003      4         0.2413
2003      5         0.0835
2003      6         0.1567
2003      7         0.0123
2003      8         0.1632
2003      9         0.1043
2003      10        0.0345
2003      11        0.0207
2003      12        0.0881
2004      1         0.0077
2004      2         0.0214
2004      3         0.1081
2004      4         0.0863
2004      5         0.2677
2004      6         0.1410
2004      7         0.2461
2004      8         0.1713
2004      9         0.0727
2004      10        0.0829
2004      11        0.0520
2004      12        0.0145
2005      1         0.0455
2005      2         0.0879
2005      3         0.0245
2005      4         0.1053
2005      5         0.1800
2005      6         0.2160
2005      7         0.0384
2005      8         0.2435
2005      9         0.0570
2005      10        0.1494
2005      11        0.0513
2005      12        0.0319
2006      1         0.0242
2006      2         0.0004
2006      3         0.0687
2006      4         0.1510
2006      5         0.0535
2006      6         0.0940
2006      7         0.1239
2006      8         0.2290
2006      9         0.0683
2006      10        0.0945
2006      11        0.0323
2006      12        0.0713
2007      1         0.0135
2007      2         0.0289
2007      3         0.1081
2007      4         0.0690
2007      5         0.2484
2007      6         0.0630
2007      7         0.0674
2007      8         0.2184
2007      9         0.1103
2007      10        0.1552
2007      11        0.0020
2007      12        0.0726
2008      1         0.0235
2008      2         0.0693
2008      3         0.0610
2008      4         0.1687
2008      5         0.1168
2008      6         0.2343
2008      7         0.1584
2008      8         0.0316
