0,1,2,3
-99.0,5,4.76,2.7
-2.0,1,0.95,5.41
-1.9,1,0.95,8.11
-1.7,1,0.95,10.81
-1.6,1,0.95,13.51
-1.5,2,1.9,16.22
-1.4,2,1.9,18.92
-1.3,9,8.57,21.62
-1.2,1,0.95,24.32
-1.1,4,3.81,27.03
-1.0,4,3.81,29.73
-0.9,1,0.95,32.43
-0.8,1,0.95,35.14
-0.7,2,1.9,37.84
-0.6,4,3.81,40.54
-0.5,2,1.9,43.24
-0.4,3,2.86,45.95
-0.3,3,2.86,48.65
-0.2,1,0.95,51.35
-0.1,5,4.76,54.05
0.0,2,1.9,56.76
0.1,1,0.95,59.46
0.2,1,0.95,62.16
0.3,2,1.9,64.86
0.4,6,5.71,67.57
0.5,4,3.81,70.27
0.6,3,2.86,72.97
0.7,2,1.9,75.68
0.8,6,5.71,78.38
0.9,4,3.81,81.08
1.0,5,4.76,83.78
1.1,6,5.71,86.49
1.3,3,2.86,89.19
1.4,4,3.81,91.89
1.6,1,0.95,94.59
1.8,1,0.95,97.3
2.1,1,0.95,100.0
