0,1,2,3,4
02/01/2000,0.48,-99.0,-99.0,-99.0
03/01/2000,-0.89,-99.0,-99.0,-99.0
04/01/2000,-0.78,-1.48,-99.0,-99.0
05/01/2000,-1.02,-1.76,-99.0,-99.0
06/01/2000,0.26,-1.27,-99.0,-99.0
07/01/2000,0.13,-0.51,-0.88,-99.0
08/01/2000,-0.65,-0.43,-1.5,-99.0
09/01/2000,0.0,-0.66,-1.26,-99.0
10/01/2000,-1.29,-0.94,-1.09,-99.0
11/01/2000,1.23,0.57,-0.16,-99.0
12/01/2000,-0.94,-0.25,-0.62,-99.0
01/01/2001,1.89,1.25,-0.11,-0.81
02/01/2001,1.41,1.59,1.41,-0.45
03/01/2001,0.12,1.65,1.29,-0.4
04/01/2001,-1.17,0.22,1.01,-0.45
05/01/2001,0.37,-0.32,0.37,0.04
06/01/2001,0.91,0.5,0.98,0.36
07/01/2001,2.17,1.59,1.44,0.9
08/01/2001,-0.93,1.33,0.78,1.03
09/01/2001,0.43,0.87,0.83,0.93
10/01/2001,-0.53,-0.6,0.95,0.92
11/01/2001,-0.53,0.01,1.06,0.96
12/01/2001,-0.17,-1.45,0.46,1.04
01/01/2002,-1.25,-0.93,-0.99,0.93
02/01/2002,-0.34,-1.0,-0.61,0.45
03/01/2002,-0.26,-1.05,-1.51,0.43
04/01/2002,0.45,-0.37,-1.15,0.63
05/01/2002,0.33,0.24,-0.48,0.58
06/01/2002,-1.52,-0.96,-1.27,-0.66
07/01/2002,-0.95,-1.22,-1.13,-1.4
08/01/2002,0.27,-1.69,-1.03,-1.24
09/01/2002,-1.72,-1.23,-1.43,-1.67
10/01/2002,0.58,-0.39,-1.28,-1.45
11/01/2002,-0.78,-1.8,-1.73,-1.44
12/01/2002,-1.15,-1.09,-1.34,-1.69
01/01/2003,-1.25,-2.07,-1.03,-1.65
02/01/2003,-0.3,-1.82,-1.98,-1.6
03/01/2003,-0.92,-1.48,-1.62,-2.1
04/01/2003,0.45,-0.71,-1.89,-1.73
05/01/2003,-0.06,-0.26,-1.31,-2.08
06/01/2003,0.1,-0.1,-0.72,-1.51
07/01/2003,-1.03,-0.54,-0.69,-1.1
08/01/2003,-0.88,-1.25,-1.15,-1.85
09/01/2003,-0.23,-1.58,-1.03,-1.4
10/01/2003,-1.54,-1.28,-1.31,-1.7
11/01/2003,0.55,-0.84,-1.15,-1.47
12/01/2003,1.15,-0.04,-1.28,-1.25
01/01/2004,-0.13,0.65,-0.82,-1.1
02/01/2004,-0.55,0.01,-0.48,-1.11
03/01/2004,2.27,1.02,0.78,-0.48
04/01/2004,-1.44,0.14,0.38,-0.9
05/01/2004,1.21,1.34,1.14,-0.19
06/01/2004,0.68,1.04,1.05,0.06
07/01/2004,0.53,1.29,1.15,0.39
08/01/2004,0.72,1.07,1.64,1.03
09/01/2004,-0.04,0.59,0.99,0.86
10/01/2004,-0.77,0.2,1.09,0.86
11/01/2004,0.7,0.1,0.87,1.19
12/01/2004,-0.77,-0.68,0.36,1.03
01/01/2005,0.78,0.36,0.36,1.34
02/01/2005,1.03,0.74,0.5,1.6
03/01/2005,-1.1,0.35,-0.05,1.15
04/01/2005,1.03,1.17,0.84,1.38
05/01/2005,-1.14,-0.67,-0.57,0.38
06/01/2005,0.43,-0.08,-0.05,0.14
07/01/2005,0.87,-0.07,0.26,0.25
08/01/2005,-0.48,0.23,-0.32,-0.21
09/01/2005,-0.91,-0.52,-0.42,-0.45
10/01/2005,0.34,-0.79,-0.63,-0.32
11/01/2005,0.67,-0.11,0.16,-0.16
12/01/2005,0.58,1.1,-0.1,-0.06
01/01/2006,0.6,0.7,-0.37,0.07
02/01/2006,-2.23,-0.28,-0.3,-0.37
03/01/2006,-0.31,-0.85,-0.11,-0.36
04/01/2006,0.76,-0.35,0.11,-0.44
05/01/2006,-1.46,-0.8,-1.33,-0.58
06/01/2006,-0.28,-1.19,-1.36,-1.15
07/01/2006,-0.63,-1.49,-1.32,-1.21
08/01/2006,1.87,1.05,0.28,-0.06
09/01/2006,0.66,1.67,0.53,0.23
10/01/2006,0.67,1.84,0.41,0.24
11/01/2006,0.46,1.92,1.29,0.43
12/01/2006,0.93,1.42,1.82,0.46
01/01/2007,-0.42,0.42,2.06,0.55
02/01/2007,-0.08,0.03,0.94,0.65
03/01/2007,0.87,0.07,0.65,0.98
04/01/2007,-0.8,-0.67,-0.35,0.35
05/01/2007,1.68,1.5,1.34,1.67
06/01/2007,-1.84,0.13,-0.02,1.24
07/01/2007,-0.29,0.29,0.04,1.05
08/01/2007,1.13,-0.51,0.71,0.78
09/01/2007,-0.33,0.51,0.37,0.36
10/01/2007,1.26,0.95,0.78,0.41
11/01/2007,-2.1,0.16,-0.33,0.48
12/01/2007,0.96,0.99,0.7,0.47
01/01/2008,-0.32,-0.31,0.87,0.67
02/01/2008,0.79,0.74,0.53,0.83
03/01/2008,0.14,0.28,0.59,0.79
04/01/2008,1.5,2.04,1.05,1.17
05/01/2008,0.06,0.74,0.84,0.18
06/01/2008,1.31,1.92,1.4,1.51
07/01/2008,-0.86,0.67,1.13,1.11
08/01/2008,-1.14,0.22,0.6,0.53
09/01/2008,2.1,0.36,1.43,1.13
10/01/2008,1.26,1.0,1.09,1.05
