0,1,2,3
-1.9,1,1.75,3.45
-1.8,1,1.75,6.9
-1.7,1,1.75,10.34
-1.5,1,1.75,13.79
-1.2,3,5.26,17.24
-1.1,3,5.26,20.69
-1.0,2,3.51,24.14
-0.9,2,3.51,27.59
-0.8,1,1.75,31.03
-0.7,6,10.53,34.48
-0.5,2,3.51,37.93
-0.3,2,3.51,41.38
-0.2,2,3.51,44.83
0.0,3,5.26,48.28
0.1,1,1.75,51.72
0.2,2,3.51,55.17
0.3,3,5.26,58.62
0.4,2,3.51,62.07
0.5,1,1.75,65.52
0.7,4,7.02,68.97
0.9,2,3.51,72.41
1.0,1,1.75,75.86
1.1,1,1.75,79.31
1.2,1,1.75,82.76
1.3,1,1.75,86.21
1.4,2,3.51,89.66
1.5,1,1.75,93.1
1.6,3,5.26,96.55
1.7,2,3.51,100.0
