0,1,2,3
-2.6,1,0.34,1.89
-2.5,1,0.34,3.77
-2.4,1,0.34,5.66
-2.3,2,0.68,7.55
-2.2,1,0.34,9.43
-2.1,4,1.37,11.32
-2.0,2,0.68,13.21
-1.9,1,0.34,15.09
-1.8,2,0.68,16.98
-1.7,3,1.03,18.87
-1.6,2,0.68,20.75
-1.5,1,0.34,22.64
-1.4,4,1.37,24.53
-1.3,4,1.37,26.42
-1.2,5,1.71,28.3
-1.1,7,2.4,30.19
-1.0,9,3.08,32.08
-0.9,4,1.37,33.96
-0.8,5,1.71,35.85
-0.7,10,3.42,37.74
-0.6,10,3.42,39.62
-0.5,10,3.42,41.51
-0.4,9,3.08,43.4
-0.3,12,4.11,45.28
-0.2,15,5.14,47.17
-0.1,16,5.48,49.06
0.0,12,4.11,50.94
0.1,12,4.11,52.83
0.2,13,4.45,54.72
0.3,8,2.74,56.6
0.4,16,5.48,58.49
0.5,14,4.79,60.38
0.6,9,3.08,62.26
0.7,9,3.08,64.15
0.8,7,2.4,66.04
0.9,7,2.4,67.92
1.0,4,1.37,69.81
1.1,1,0.34,71.7
1.2,5,1.71,73.58
1.3,7,2.4,75.47
1.4,5,1.71,77.36
1.5,5,1.71,79.25
1.6,3,1.03,81.13
1.8,3,1.03,83.02
1.9,1,0.34,84.91
2.0,2,0.68,86.79
2.1,1,0.34,88.68
2.2,1,0.34,90.57
2.3,2,0.68,92.45
2.4,1,0.34,94.34
2.5,1,0.34,96.23
2.7,1,0.34,98.11
3.0,1,0.34,100.0
