0,1,2,3,4,5,6
03/01/2002,05/01/2002,2,-1.32,-2.08,-1.04,-1.04
01/01/2003,12/01/2003,11,-2.25,-11.32,-1.03,-0.89
04/01/2006,08/01/2006,4,-1.07,-2.86,-0.71,-0.66
12/01/2007,03/01/2008,3,-1.15,-2.27,-0.76,-0.93
03/01/2011,07/01/2011,4,-2.23,-3.29,-0.82,-0.42
10/01/2011,12/01/2011,2,-1.03,-1.29,-0.65,-0.65
07/01/2012,02/01/2013,7,-1.88,-9.46,-1.35,-1.6
10/01/2013,10/01/2014,12,-2.53,-17.19,-1.43,-1.44
04/01/2015,05/01/2015,1,-1.14,-1.14,-1.14,-1.14
12/01/2017,03/01/2018,3,-1.58,-3.68,-1.23,-1.36
04/01/2018,12/01/2018,8,-1.9,-10.29,-1.29,-1.47
12/01/2021,02/01/2023,14,-2.06,-19.03,-1.36,-1.38
06/01/2023,01/01/2024,7,-2.54,-11.4,-1.63,-1.69
