0,1,2,3
-99.0,5,1.72,2.22
-2.5,2,0.69,4.44
-2.4,1,0.34,6.67
-2.2,2,0.69,8.89
-2.1,4,1.37,11.11
-2.0,1,0.34,13.33
-1.9,3,1.03,15.56
-1.8,5,1.72,17.78
-1.7,4,1.37,20.0
-1.6,6,2.06,22.22
-1.5,2,0.69,24.44
-1.4,4,1.37,26.67
-1.3,5,1.72,28.89
-1.2,5,1.72,31.11
-1.1,4,1.37,33.33
-1.0,4,1.37,35.56
-0.9,6,2.06,37.78
-0.8,7,2.41,40.0
-0.7,7,2.41,42.22
-0.6,10,3.44,44.44
-0.5,7,2.41,46.67
-0.4,8,2.75,48.89
-0.3,3,1.03,51.11
-0.2,16,5.5,53.33
-0.1,13,4.47,55.56
0.0,7,2.41,57.78
0.1,11,3.78,60.0
0.2,10,3.44,62.22
0.3,17,5.84,64.44
0.4,13,4.47,66.67
0.5,9,3.09,68.89
0.6,11,3.78,71.11
0.7,2,0.69,73.33
0.8,8,2.75,75.56
0.9,14,4.81,77.78
1.0,10,3.44,80.0
1.1,7,2.41,82.22
1.2,8,2.75,84.44
1.3,6,2.06,86.67
1.4,8,2.75,88.89
1.5,5,1.72,91.11
1.6,5,1.72,93.33
1.7,4,1.37,95.56
1.8,1,0.34,97.78
1.9,1,0.34,100.0
