0,1,2,3,4
02/01/2000,1.02,-99.0,-99.0,-99.0
03/01/2000,-0.98,-99.0,-99.0,-99.0
04/01/2000,-1.39,-1.3,-99.0,-99.0
05/01/2000,-0.33,-1.39,-99.0,-99.0
06/01/2000,0.69,-0.14,-99.0,-99.0
07/01/2000,0.04,0.16,-0.23,-99.0
08/01/2000,-0.6,0.01,-0.84,-99.0
09/01/2000,0.29,-0.39,-0.5,-99.0
10/01/2000,0.11,-0.41,-0.23,-99.0
11/01/2000,-0.16,-0.34,-0.14,-99.0
12/01/2000,-1.23,-0.86,-0.86,-99.0
01/01/2001,1.74,0.21,-0.44,-0.64
02/01/2001,1.56,1.65,0.98,-0.37
03/01/2001,-0.4,1.71,0.61,-0.29
04/01/2001,0.0,0.81,0.51,-0.02
05/01/2001,1.04,0.52,1.13,0.52
06/01/2001,0.92,0.97,1.66,0.66
07/01/2001,1.17,1.29,1.5,0.93
08/01/2001,0.32,1.21,1.29,1.28
09/01/2001,1.14,1.21,1.48,1.58
10/01/2001,0.33,0.76,1.65,1.6
11/01/2001,-1.13,0.55,1.22,1.71
12/01/2001,-0.22,-0.67,0.78,1.84
01/01/2002,0.68,-0.5,0.39,1.81
02/01/2002,0.05,-0.06,0.3,1.35
03/01/2002,-2.27,-1.03,-1.32,1.1
04/01/2002,0.82,-0.46,-0.76,1.44
05/01/2002,2.23,1.66,1.48,1.67
06/01/2002,-0.14,1.37,1.21,1.21
07/01/2002,0.36,1.14,1.0,0.87
08/01/2002,0.36,0.07,1.18,0.96
09/01/2002,-1.47,-0.17,1.05,0.49
10/01/2002,0.22,-0.31,0.88,0.42
11/01/2002,-1.35,-2.3,-0.67,0.47
12/01/2002,-0.97,-1.19,-0.79,0.37
01/01/2003,-0.62,-1.69,-1.37,0.25
02/01/2003,0.55,-0.71,-2.25,0.37
03/01/2003,-1.44,-0.95,-1.69,0.43
04/01/2003,0.07,-0.7,-1.59,0.12
05/01/2003,-0.01,-0.54,-0.93,-1.04
06/01/2003,-0.47,-0.29,-0.81,-0.99
07/01/2003,-0.81,-0.7,-0.89,-1.27
08/01/2003,0.68,-0.44,-0.73,-1.42
09/01/2003,0.95,0.38,-0.11,-0.8
10/01/2003,-1.29,0.25,-0.6,-1.23
11/01/2003,0.91,0.2,-0.34,-0.87
12/01/2003,1.68,0.58,0.55,-0.31
01/01/2004,-0.52,1.23,0.98,-0.28
02/01/2004,-1.06,0.58,0.48,-0.52
03/01/2004,1.0,-0.16,0.3,-0.05
04/01/2004,-0.04,-0.11,0.85,-0.17
05/01/2004,0.25,0.37,0.48,-0.01
06/01/2004,-0.1,-0.02,-0.2,0.2
07/01/2004,0.63,0.19,0.13,0.52
08/01/2004,1.5,1.01,1.04,0.9
09/01/2004,-0.36,1.1,0.62,0.63
10/01/2004,0.35,0.99,0.73,0.96
11/01/2004,0.88,0.32,0.97,1.09
