0,1,2,3,4
02/01/2000,1.06,-99.0,-99.0,-99.0
03/01/2000,0.38,-99.0,-99.0,-99.0
04/01/2000,-1.01,-0.18,-99.0,-99.0
05/01/2000,-1.38,-1.57,-99.0,-99.0
06/01/2000,0.78,-0.39,-99.0,-99.0
07/01/2000,0.7,0.41,0.27,-99.0
08/01/2000,-1.67,0.64,-0.14,-99.0
09/01/2000,0.86,0.69,0.26,-99.0
10/01/2000,-0.13,0.6,0.48,-99.0
11/01/2000,1.59,1.24,0.91,-99.0
12/01/2000,-0.46,0.84,0.75,-99.0
01/01/2001,1.64,1.17,1.01,0.61
02/01/2001,1.13,1.2,1.26,0.68
03/01/2001,1.43,1.38,1.38,0.73
04/01/2001,-0.24,1.19,1.38,0.8
05/01/2001,1.14,1.12,1.41,0.99
06/01/2001,0.54,0.99,1.22,1.35
07/01/2001,1.15,1.41,1.42,1.41
08/01/2001,0.53,1.08,1.45,1.41
09/01/2001,0.58,1.13,1.16,1.29
10/01/2001,0.32,0.89,1.3,1.34
11/01/2001,-0.4,0.4,0.83,1.3
12/01/2001,0.43,-0.37,0.98,1.2
01/01/2002,-0.69,-0.31,0.25,1.04
02/01/2002,0.09,-0.01,0.22,0.93
03/01/2002,-1.2,-0.51,-0.42,0.69
04/01/2002,-0.42,-1.51,-0.94,0.61
05/01/2002,0.74,-0.08,-0.61,0.38
06/01/2002,-1.71,-1.46,-1.23,-0.3
07/01/2002,-0.4,-1.2,-1.34,-0.61
08/01/2002,0.18,-1.54,-1.37,-0.68
09/01/2002,-1.69,-1.45,-1.6,-1.15
10/01/2002,1.3,-1.68,-1.4,-1.07
11/01/2002,-1.13,-1.51,-1.57,-1.13
12/01/2002,-0.67,-1.47,-1.57,-1.25
01/01/2003,-0.69,-1.47,-1.66,-1.59
02/01/2003,-1.21,-1.56,-1.54,-1.63
03/01/2003,-0.62,-0.9,-0.96,-1.41
04/01/2003,1.66,0.51,-0.44,-1.41
05/01/2003,-0.5,0.53,-0.8,-1.37
06/01/2003,0.42,0.86,0.02,-1.05
07/01/2003,-1.44,-0.62,-0.35,-0.8
08/01/2003,0.96,-0.17,0.05,-0.74
09/01/2003,0.31,-0.37,0.18,-0.14
10/01/2003,-1.48,0.18,-0.37,-0.27
11/01/2003,-0.1,-0.13,-0.17,-0.17
12/01/2003,1.32,1.0,-0.16,0.05
01/01/2004,-0.47,0.63,0.4,-0.06
02/01/2004,-1.07,0.38,0.07,0.03
