0,1,2,3,4,5,6
07/01/2000,09/01/2000,2,-1.02,-1.87,-0.93,-0.93
12/01/2000,02/01/2001,2,-2.19,-2.76,-1.38,-1.38
04/01/2001,09/01/2001,5,-3.1,-5.76,-1.15,-0.71
04/01/2002,07/01/2002,3,-1.23,-1.78,-0.59,-0.38
11/01/2002,12/01/2002,1,-1.13,-1.13,-1.13,-1.13
01/01/2003,02/01/2003,1,-1.24,-1.24,-1.24,-1.24
03/01/2003,05/01/2003,2,-1.13,-1.35,-0.67,-0.67
09/01/2004,10/01/2004,1,-3.11,-3.11,-3.11,-3.11
05/01/2005,07/01/2005,2,-3.03,-3.38,-1.69,-1.69
10/01/2005,01/01/2006,3,-2.6,-5.44,-1.81,-2.44
03/01/2007,09/01/2007,6,-2.4,-6.58,-1.1,-0.98
06/01/2008,08/01/2008,2,-2.38,-4.14,-2.07,-2.07
11/01/2008,12/01/2008,1,-1.14,-1.14,-1.14,-1.14
11/01/2009,12/01/2009,1,-1.6,-1.6,-1.6,-1.6
02/01/2010,07/01/2010,5,-1.58,-3.61,-0.72,-0.36
08/01/2010,09/01/2010,1,-2.66,-2.66,-2.66,-2.66
10/01/2010,11/01/2010,1,-2.17,-2.17,-2.17,-2.17
01/01/2011,02/01/2011,1,-2.55,-2.55,-2.55,-2.55
07/01/2011,09/01/2011,2,-1.03,-1.31,-0.66,-0.66
04/01/2012,06/01/2012,2,-1.8,-2.96,-1.48,-1.48
03/01/2013,04/01/2013,1,-1.65,-1.65,-1.65,-1.65
02/01/2014,04/01/2014,2,-1.19,-1.6,-0.8,-0.8
01/01/2015,03/01/2015,2,-1.04,-1.09,-0.54,-0.54
06/01/2016,08/01/2016,2,-1.1,-1.39,-0.69,-0.69
10/01/2016,12/01/2016,2,-1.37,-1.58,-0.79,-0.79
02/01/2017,03/01/2017,1,-1.11,-1.11,-1.11,-1.11
09/01/2017,02/01/2018,5,-1.92,-4.68,-0.94,-0.88
07/01/2018,08/01/2018,1,-1.81,-1.81,-1.81,-1.81
06/01/2022,08/01/2022,2,-1.02,-1.09,-0.54,-0.54
09/01/2022,12/01/2022,3,-1.92,-2.93,-0.98,-0.6
06/01/2023,07/01/2023,1,-1.12,-1.12,-1.12,-1.12
12/01/2023,01/01/2024,1,-1.15,-1.15,-1.15,-1.15
03/01/2024,05/01/2024,2,-1.15,-2.18,-1.09,-1.09
