0,1,2,3
-99.0,11,3.77,2
-2.5,1,0.34,4
-2.4,2,0.68,6
-2.3,2,0.68,8
-2.2,2,0.68,10
-2.1,3,1.03,12
-2.0,3,1.03,14
-1.9,1,0.34,16
-1.8,4,1.37,18
-1.6,2,0.68,20
-1.5,2,0.68,22
-1.4,7,2.4,24
-1.3,2,0.68,26
-1.2,6,2.05,28
-1.1,3,1.03,30
-1.0,4,1.37,32
-0.9,3,1.03,34
-0.8,6,2.05,36
-0.7,3,1.03,38
-0.6,14,4.79,40
-0.5,10,3.42,42
-0.4,9,3.08,44
-0.3,10,3.42,46
-0.2,19,6.51,48
-0.1,16,5.48,50
0.0,16,5.48,52
0.1,19,6.51,54
0.2,9,3.08,56
0.3,12,4.11,58
0.4,9,3.08,60
0.5,13,4.45,62
0.6,12,4.11,64
0.7,7,2.4,66
0.8,3,1.03,68
0.9,1,0.34,70
1.0,4,1.37,72
1.1,3,1.03,74
1.2,3,1.03,76
1.3,9,3.08,78
1.4,4,1.37,80
1.5,4,1.37,82
1.6,2,0.68,84
1.7,3,1.03,86
1.9,6,2.05,88
2.0,2,0.68,90
2.2,1,0.34,92
2.3,2,0.68,94
2.5,1,0.34,96
2.6,1,0.34,98
2.7,1,0.34,100
