0,1,2,3
-99.0,5,1.71,2.13
-2.7,1,0.34,4.26
-2.6,1,0.34,6.38
-2.3,1,0.34,8.51
-2.2,2,0.68,10.64
-2.1,1,0.34,12.77
-2.0,1,0.34,14.89
-1.9,3,1.03,17.02
-1.8,2,0.68,19.15
-1.7,6,2.05,21.28
-1.6,5,1.71,23.4
-1.5,5,1.71,25.53
-1.4,7,2.4,27.66
-1.3,4,1.37,29.79
-1.2,6,2.05,31.91
-1.1,3,1.03,34.04
-1.0,9,3.08,36.17
-0.9,6,2.05,38.3
-0.8,5,1.71,40.43
-0.7,7,2.4,42.55
-0.6,6,2.05,44.68
-0.5,11,3.77,46.81
-0.4,4,1.37,48.94
-0.3,9,3.08,51.06
-0.2,10,3.42,53.19
-0.1,10,3.42,55.32
0.0,8,2.74,57.45
0.1,15,5.14,59.57
0.2,16,5.48,61.7
0.3,12,4.11,63.83
0.4,17,5.82,65.96
0.5,4,1.37,68.09
0.6,13,4.45,70.21
0.7,6,2.05,72.34
0.8,9,3.08,74.47
0.9,9,3.08,76.6
1.0,9,3.08,78.72
1.1,7,2.4,80.85
1.2,6,2.05,82.98
1.3,5,1.71,85.11
1.4,8,2.74,87.23
1.5,3,1.03,89.36
1.6,4,1.37,91.49
1.7,6,2.05,93.62
1.9,2,0.68,95.74
2.0,1,0.34,97.87
2.1,2,0.68,100.0
