0,1,2,3,4
02/01/2000,0.65,-99.0,-99.0,-99.0
03/01/2000,0.03,-99.0,-99.0,-99.0
04/01/2000,-1.03,-0.33,-99.0,-99.0
05/01/2000,0.8,-0.18,-99.0,-99.0
06/01/2000,-0.25,-0.28,-99.0,-99.0
07/01/2000,-0.05,0.24,-0.18,-99.0
08/01/2000,-0.14,-0.49,-0.5,-99.0
09/01/2000,0.3,-0.19,-0.52,-99.0
10/01/2000,-1.03,-0.87,-0.5,-99.0
11/01/2000,0.56,-0.31,-0.72,-99.0
12/01/2000,-1.92,-1.26,-1.18,-99.0
01/01/2001,-1.34,-1.49,-1.71,-1.14
02/01/2001,0.74,-1.64,-1.19,-1.28
03/01/2001,-0.99,-0.88,-1.59,-1.49
04/01/2001,-2.68,-1.2,-2.05,-1.94
05/01/2001,-1.34,-2.38,-2.66,-2.48
06/01/2001,-0.06,-1.79,-1.88,-2.28
07/01/2001,0.98,-0.32,-1.04,-2.1
08/01/2001,-0.26,0.14,-1.53,-2.13
09/01/2001,-0.02,0.14,-1.47,-2.2
10/01/2001,0.45,-0.13,-0.34,-1.66
11/01/2001,1.24,0.81,0.66,-1.38
12/01/2001,1.55,1.59,1.33,-0.32
01/01/2002,0.66,2.01,1.27,0.12
02/01/2002,-1.06,1.05,1.15,-0.32
03/01/2002,1.18,0.53,1.54,0.29
04/01/2002,0.45,0.37,1.59,0.97
05/01/2002,0.59,0.93,1.18,1.3
06/01/2002,0.36,0.56,0.63,1.36
07/01/2002,-0.41,0.27,0.31,1.14
08/01/2002,-0.62,-0.55,0.39,0.97
09/01/2002,0.74,-0.28,0.22,1.17
10/01/2002,0.15,-0.07,0.04,1.04
11/01/2002,-0.3,0.1,-0.41,0.62
12/01/2002,0.88,0.23,-0.11,0.33
01/01/2003,-1.94,-0.56,-0.5,-0.11
02/01/2003,0.87,0.29,0.17,0.38
03/01/2003,-1.45,-1.16,-0.56,-0.29
04/01/2003,0.25,-0.08,-0.52,-0.42
05/01/2003,-0.01,-0.53,-0.32,-0.58
06/01/2003,1.64,0.85,0.06,-0.07
07/01/2003,-0.02,1.1,0.43,0.0
08/01/2003,0.1,0.9,0.15,0.11
09/01/2003,1.18,0.57,1.07,0.28
10/01/2003,-0.8,0.07,0.64,0.01
11/01/2003,0.58,0.38,0.86,0.28
12/01/2003,-0.5,-0.58,-0.1,-0.11
01/01/2004,-0.4,-0.38,-0.27,0.12
02/01/2004,-0.61,-1.54,-0.51,-0.28
03/01/2004,-0.97,-1.46,-1.44,-0.18
04/01/2004,-0.57,-1.32,-1.38,-0.51
05/01/2004,-0.43,-1.1,-1.66,-0.58
06/01/2004,-1.18,-1.1,-1.74,-1.38
07/01/2004,-1.01,-1.8,-1.9,-1.73
08/01/2004,0.02,-1.29,-1.69,-1.75
09/01/2004,-2.06,-1.47,-2.21,-2.57
10/01/2004,0.51,-0.5,-1.45,-2.03
11/01/2004,1.3,0.44,-0.56,-1.73
12/01/2004,-0.6,0.65,-0.4,-1.55
01/01/2005,1.1,1.12,0.37,-1.03
02/01/2005,-0.29,0.04,0.31,-1.11
03/01/2005,-0.82,-0.02,0.44,-1.03
04/01/2005,-0.31,-0.92,0.03,-1.06
05/01/2005,-3.04,-1.76,-1.3,-1.42
06/01/2005,-0.58,-1.6,-1.19,-1.21
07/01/2005,0.98,-1.23,-1.34,-0.8
08/01/2005,0.63,0.47,-0.93,-0.61
09/01/2005,0.18,0.76,-0.74,-0.26
10/01/2005,-1.73,-0.65,-1.25,-0.89
11/01/2005,0.05,-1.07,-0.49,-1.42
12/01/2005,-2.02,-2.16,-0.85,-1.48
01/01/2006,0.66,-0.67,-1.01,-1.62
02/01/2006,-0.53,-1.3,-1.62,-1.93
03/01/2006,0.27,0.1,-1.4,-1.53
04/01/2006,-0.05,-0.31,-0.79,-1.6
05/01/2006,0.95,0.42,-0.26,-0.59
06/01/2006,-0.4,0.18,0.11,-0.5
07/01/2006,0.09,0.36,-0.11,-0.81
08/01/2006,0.12,-0.31,0.08,-1.04
09/01/2006,2.69,1.89,1.55,0.17
10/01/2006,0.45,1.95,1.72,0.68
11/01/2006,0.52,2.09,1.58,0.86
12/01/2006,0.3,0.5,1.71,1.14
01/01/2007,1.17,1.05,2.14,1.29
02/01/2007,-0.13,0.82,2.13,1.57
03/01/2007,-1.2,-0.03,0.31,1.24
04/01/2007,-0.57,-1.17,-0.18,1.21
05/01/2007,-0.62,-1.29,-0.54,0.7
06/01/2007,1.39,0.1,-0.03,1.16
07/01/2007,-0.14,0.48,-0.57,1.2
08/01/2007,-2.17,-0.02,-1.0,0.77
09/01/2007,0.21,-0.98,-0.69,-0.33
10/01/2007,1.28,0.32,0.45,0.08
11/01/2007,-0.53,0.68,0.44,-0.19
12/01/2007,1.29,1.24,0.41,0.16
01/01/2008,-0.78,0.05,0.2,-0.32
02/01/2008,-0.07,0.34,0.66,-0.35
03/01/2008,1.9,0.77,1.39,0.57
04/01/2008,0.62,1.21,0.98,1.02
05/01/2008,0.32,1.29,1.17,1.16
06/01/2008,0.09,0.43,0.67,0.76
07/01/2008,-0.25,-0.04,0.8,0.78
08/01/2008,-0.95,-0.8,0.6,0.8
09/01/2008,-1.19,-1.5,-0.61,0.56
10/01/2008,-0.28,-1.7,-1.16,-0.11
11/01/2008,-0.68,-1.42,-1.8,-0.13
12/01/2008,0.44,-0.49,-1.49,-0.4
01/01/2009,-0.16,-0.46,-1.54,-0.25
02/01/2009,-0.04,-0.14,-1.16,-0.27
03/01/2009,-1.18,-1.04,-1.11,-1.24
04/01/2009,0.49,-0.35,-0.68,-1.45
05/01/2009,0.66,0.06,-0.07,-1.22
06/01/2009,0.23,0.56,-0.15,-1.1
07/01/2009,0.56,0.76,0.08,-0.97
08/01/2009,-0.03,0.16,0.08,-0.78
09/01/2009,0.49,0.3,0.61,-0.4
10/01/2009,1.71,1.41,1.45,0.53
11/01/2009,-1.75,0.95,0.8,0.41
12/01/2009,0.51,0.96,0.88,0.39
01/01/2010,-0.13,-0.79,0.66,0.42
02/01/2010,-1.24,-0.73,0.38,0.26
03/01/2010,0.12,-0.85,0.25,0.54
04/01/2010,0.13,-0.51,-1.03,0.43
05/01/2010,0.21,0.08,-0.32,0.26
06/01/2010,-2.07,-0.52,-0.96,-0.1
