0,1,2,3,4,5,6
10/01/2000,11/01/2000,1,-1.03,-1.03,-1.03,-1.03
04/01/2001,06/01/2001,2,-1.48,-2.54,-1.27,-1.27
08/01/2001,09/01/2001,1,-1.06,-1.06,-1.06,-1.06
07/01/2002,08/01/2002,1,-1.15,-1.15,-1.15,-1.15
01/01/2003,02/01/2003,1,-1.82,-1.82,-1.82,-1.82
03/01/2003,04/01/2003,1,-1.92,-1.92,-1.92,-1.92
09/01/2004,10/01/2004,1,-1.38,-1.38,-1.38,-1.38
05/01/2005,06/01/2005,1,-2.75,-2.75,-2.75,-2.75
10/01/2005,01/01/2006,3,-3.1,-5.97,-1.99,-2.65
03/01/2007,06/01/2007,3,-1.46,-3.38,-1.13,-1.22
08/01/2007,10/01/2007,2,-1.92,-2.58,-1.29,-1.29
01/01/2008,02/01/2008,1,-1.03,-1.03,-1.03,-1.03
07/01/2008,09/01/2008,2,-1.25,-1.34,-0.67,-0.67
11/01/2009,12/01/2009,1,-1.25,-1.25,-1.25,-1.25
02/01/2010,03/01/2010,1,-1.0,-1.0,-1.0,-1.0
06/01/2010,07/01/2010,1,-1.85,-1.85,-1.85,-1.85
08/01/2010,11/01/2010,3,-2.76,-4.81,-1.6,-1.49
12/01/2010,02/01/2011,2,-2.47,-3.49,-1.75,-1.75
06/01/2011,09/01/2011,3,-1.55,-3.23,-1.08,-1.24
04/01/2012,09/01/2012,5,-1.9,-5.89,-1.18,-1.56
11/01/2012,01/01/2013,2,-1.03,-1.34,-0.67,-0.67
03/01/2013,04/01/2013,1,-1.22,-1.22,-1.22,-1.22
11/01/2013,12/01/2013,1,-1.23,-1.23,-1.23,-1.23
02/01/2014,04/01/2014,2,-1.56,-2.36,-1.18,-1.18
07/01/2014,10/01/2014,3,-1.02,-1.32,-0.44,-0.17
02/01/2015,03/01/2015,1,-1.27,-1.27,-1.27,-1.27
09/01/2015,11/01/2015,2,-1.61,-1.72,-0.86,-0.86
02/01/2017,03/01/2017,1,-1.06,-1.06,-1.06,-1.06
09/01/2017,02/01/2018,5,-1.89,-3.77,-0.75,-0.45
07/01/2018,08/01/2018,1,-1.68,-1.68,-1.68,-1.68
09/01/2022,12/01/2022,3,-1.27,-1.94,-0.65,-0.4
05/01/2023,07/01/2023,2,-2.04,-3.71,-1.86,-1.86
11/01/2023,01/01/2024,2,-1.25,-2.48,-1.24,-1.24
02/01/2024,05/01/2024,3,-1.31,-3.32,-1.11,-1.03
