0,1,2,3,4,5,6
05/01/2001,10/01/2001,5,-1.78,-5.57,-1.11,-1.12
02/01/2004,11/01/2004,9,-1.54,-5.93,-0.66,-0.53
05/01/2005,08/01/2005,3,-2.1,-3.86,-1.29,-1.13
12/01/2005,03/01/2006,3,-2.37,-4.73,-1.58,-1.34
04/01/2007,12/01/2007,8,-1.89,-9.16,-1.15,-1.03
08/01/2010,04/01/2011,8,-2.71,-11.81,-1.48,-1.42
08/01/2011,11/01/2011,3,-1.75,-3.49,-1.16,-0.91
06/01/2012,02/01/2013,8,-2.4,-8.09,-1.01,-0.69
03/01/2014,04/01/2014,1,-2.04,-2.04,-2.04,-2.04
01/01/2015,04/01/2015,3,-2.06,-3.92,-1.31,-1.56
11/01/2017,02/01/2018,3,-1.9,-4.03,-1.34,-1.12
06/01/2023,08/01/2023,2,-1.6,-2.99,-1.5,-1.5
04/01/2024,05/01/2024,1,-2.17,-2.17,-2.17,-2.17
