0,1,2,3
-3.1,1,0.35,2.04
-2.8,1,0.35,4.08
-2.7,2,0.7,6.12
-2.5,1,0.35,8.16
-2.0,1,0.35,10.2
-1.9,4,1.4,12.24
-1.8,2,0.7,14.29
-1.7,3,1.05,16.33
-1.6,3,1.05,18.37
-1.5,4,1.4,20.41
-1.4,1,0.35,22.45
-1.3,3,1.05,24.49
-1.2,9,3.16,26.53
-1.1,3,1.05,28.57
-1.0,11,3.86,30.61
-0.9,6,2.11,32.65
-0.8,4,1.4,34.69
-0.7,11,3.86,36.73
-0.6,13,4.56,38.78
-0.5,8,2.81,40.82
-0.4,15,5.26,42.86
-0.3,11,3.86,44.9
-0.2,10,3.51,46.94
-0.1,10,3.51,48.98
0.0,6,2.11,51.02
0.1,9,3.16,53.06
0.2,10,3.51,55.1
0.3,13,4.56,57.14
0.4,11,3.86,59.18
0.5,15,5.26,61.22
0.6,11,3.86,63.27
0.7,16,5.61,65.31
0.8,7,2.46,67.35
0.9,5,1.75,69.39
1.0,4,1.4,71.43
1.1,7,2.46,73.47
1.2,6,2.11,75.51
1.3,5,1.75,77.55
1.4,2,0.7,79.59
1.5,5,1.75,81.63
1.6,2,0.7,83.67
1.7,1,0.35,85.71
1.8,3,1.05,87.76
1.9,2,0.7,89.8
2.1,3,1.05,91.84
2.2,2,0.7,93.88
2.3,1,0.35,95.92
2.5,1,0.35,97.96
2.8,1,0.35,100.0
