0,1,2,3,4
09/01/2000,0.11,-99.0,-99.0,-99.0
10/01/2000,-1.03,-99.0,-99.0,-99.0
11/01/2000,0.72,-0.3,-99.0,-99.0
12/01/2000,-0.86,-0.69,-99.0,-99.0
01/01/2001,-0.61,-0.6,-99.0,-99.0
02/01/2001,1.21,-0.31,-0.44,-99.0
03/01/2001,-0.56,-0.03,-0.62,-99.0
04/01/2001,-1.48,-0.35,-0.84,-99.0
05/01/2001,-1.06,-1.78,-1.7,-99.0
06/01/2001,0.25,-1.13,-1.08,-99.0
07/01/2001,-0.98,-1.12,-1.02,-99.0
08/01/2001,-1.06,-0.99,-1.98,-1.85
09/01/2001,0.65,-0.55,-1.4,-1.66
10/01/2001,0.84,0.36,-0.32,-0.91
11/01/2001,1.23,1.32,0.61,-0.68
12/01/2001,1.73,1.82,1.41,0.36
01/01/2002,0.65,2.03,1.51,0.63
02/01/2002,-0.96,1.29,1.6,0.16
03/01/2002,1.42,0.74,1.87,0.68
04/01/2002,0.07,0.36,1.94,1.14
05/01/2002,0.96,1.17,1.77,1.87
06/01/2002,1.32,1.0,1.3,2.02
07/01/2002,-1.15,1.22,0.89,1.98
08/01/2002,0.22,0.53,1.16,2.07
09/01/2002,0.89,0.25,0.95,2.19
10/01/2002,-0.34,0.13,0.7,1.75
11/01/2002,-0.21,-0.06,0.17,1.37
12/01/2002,0.72,-0.07,-0.05,0.78
01/01/2003,-1.82,-0.53,-0.32,0.26
02/01/2003,0.98,0.22,0.03,0.77
03/01/2003,-1.92,-1.28,-0.82,0.03
04/01/2003,0.01,-0.3,-0.75,0.0
05/01/2003,0.67,-0.41,-0.27,-0.21
06/01/2003,0.66,0.53,-0.35,-0.44
07/01/2003,0.44,0.98,0.29,-0.2
08/01/2003,0.74,0.85,0.16,0.04
09/01/2003,1.05,1.13,1.06,0.11
10/01/2003,-0.48,0.44,0.78,0.05
11/01/2003,0.18,0.19,0.56,0.19
12/01/2003,-0.57,-0.7,0.07,-0.21
01/01/2004,-0.45,-0.78,-0.23,-0.04
02/01/2004,-0.64,-1.54,-0.7,-0.49
03/01/2004,-0.39,-1.24,-1.35,-0.2
04/01/2004,-0.24,-0.93,-1.43,-0.34
05/01/2004,-0.11,-0.53,-1.54,-0.79
06/01/2004,0.06,-0.24,-1.13,-0.9
07/01/2004,0.4,-0.04,-0.79,-0.92
08/01/2004,-0.15,-0.1,-0.52,-1.05
09/01/2004,-1.38,-0.78,-0.78,-1.8
10/01/2004,0.44,-0.53,-0.47,-1.41
11/01/2004,1.85,0.84,0.56,-0.62
12/01/2004,-0.42,0.92,0.34,-0.47
01/01/2005,0.68,1.22,0.44,-0.14
02/01/2005,-0.22,-0.21,0.46,-0.06
03/01/2005,-0.74,-0.25,0.57,-0.12
04/01/2005,-0.73,-1.22,0.22,-0.3
05/01/2005,-2.75,-2.1,-1.83,-1.0
06/01/2005,0.52,-1.13,-1.26,-0.75
07/01/2005,1.06,-0.63,-1.37,-0.63
08/01/2005,0.45,0.81,-0.92,-0.33
09/01/2005,0.27,0.6,-0.57,-0.01
10/01/2005,-3.1,-0.71,-0.94,-0.62
11/01/2005,-0.22,-1.13,-0.35,-1.59
12/01/2005,-2.65,-2.37,-1.37,-1.72
01/01/2006,0.56,-1.03,-1.22,-1.69
02/01/2006,-0.37,-1.34,-1.6,-1.93
03/01/2006,0.33,0.15,-1.5,-1.53
04/01/2006,-0.66,-0.6,-1.36,-1.82
05/01/2006,0.05,-0.28,-1.18,-1.42
06/01/2006,-0.26,-0.46,-0.41,-1.52
07/01/2006,1.58,0.46,-0.25,-1.4
08/01/2006,-0.57,0.06,-0.24,-1.49
09/01/2006,2.77,2.6,1.44,0.0
10/01/2006,0.58,1.91,1.77,0.6
11/01/2006,0.56,2.29,1.98,0.88
12/01/2006,-0.11,0.37,1.96,1.12
01/01/2007,1.21,0.86,1.82,1.25
02/01/2007,-0.05,0.6,2.02,1.48
03/01/2007,-1.46,0.1,0.28,1.11
04/01/2007,-1.22,-1.75,-0.43,1.18
05/01/2007,-0.7,-1.89,-1.01,1.06
06/01/2007,0.17,-0.9,-0.8,1.06
07/01/2007,-0.45,-0.74,-1.8,0.69
08/01/2007,-1.92,-1.15,-2.16,0.52
09/01/2007,-0.65,-1.73,-1.93,-1.15
10/01/2007,0.72,-0.59,-0.91,-1.07
11/01/2007,-0.92,-0.4,-1.07,-1.58
12/01/2007,0.85,0.41,-0.63,-0.95
01/01/2008,-1.03,-0.56,-0.84,-1.65
02/01/2008,0.2,-0.03,-0.35,-1.77
