0,1,2,3
-99.0,5,2.76,2.27
-2.5,1,0.55,4.55
-2.1,1,0.55,6.82
-2.0,1,0.55,9.09
-1.9,1,0.55,11.36
-1.8,3,1.66,13.64
-1.7,2,1.1,15.91
-1.6,3,1.66,18.18
-1.5,4,2.21,20.45
-1.4,5,2.76,22.73
-1.3,5,2.76,25.0
-1.2,2,1.1,27.27
-1.1,2,1.1,29.55
-1.0,3,1.66,31.82
-0.9,5,2.76,34.09
-0.8,4,2.21,36.36
-0.7,5,2.76,38.64
-0.6,9,4.97,40.91
-0.5,4,2.21,43.18
-0.4,8,4.42,45.45
-0.3,8,4.42,47.73
-0.2,4,2.21,50.0
-0.1,4,2.21,52.27
0.0,6,3.31,54.55
0.1,1,0.55,56.82
0.2,2,1.1,59.09
0.3,7,3.87,61.36
0.4,8,4.42,63.64
0.5,5,2.76,65.91
0.6,13,7.18,68.18
0.7,7,3.87,70.45
0.8,6,3.31,72.73
0.9,2,1.1,75.0
1.0,9,4.97,77.27
1.1,3,1.66,79.55
1.2,4,2.21,81.82
1.3,4,2.21,84.09
1.4,3,1.66,86.36
1.5,2,1.1,88.64
1.6,3,1.66,90.91
1.7,2,1.1,93.18
1.8,2,1.1,95.45
1.9,2,1.1,97.73
2.0,1,0.55,100.0
