0,1,2,3,4
05/01/2009,0.52,-99.0,-99.0,-99.0
06/01/2009,0.68,-99.0,-99.0,-99.0
07/01/2009,0.44,0.68,-99.0,-99.0
08/01/2009,0.55,0.64,-99.0,-99.0
09/01/2009,0.35,0.46,-99.0,-99.0
10/01/2009,1.81,1.75,1.46,-99.0
11/01/2009,-0.22,1.62,1.26,-99.0
12/01/2009,0.66,1.65,1.3,-99.0
01/01/2010,0.53,0.32,1.65,-99.0
02/01/2010,0.95,1.17,1.87,-99.0
03/01/2010,0.04,0.56,1.74,-99.0
04/01/2010,1.05,1.28,1.09,1.81
05/01/2010,0.14,0.79,1.15,1.56
06/01/2010,-0.21,0.55,0.65,1.4
07/01/2010,1.26,0.65,1.36,1.64
08/01/2010,0.61,0.78,1.26,1.69
09/01/2010,1.69,1.69,1.63,1.98
10/01/2010,-1.73,0.59,0.75,1.31
11/01/2010,-0.04,0.34,0.7,1.41
12/01/2010,-0.14,-1.3,0.83,1.28
01/01/2011,-1.73,-0.82,0.01,1.19
02/01/2011,0.91,-0.5,0.04,1.14
03/01/2011,0.12,-0.04,-1.18,1.09
04/01/2011,-0.43,-0.25,-0.75,0.25
05/01/2011,0.65,-0.05,-0.31,0.38
06/01/2011,-0.34,-0.25,-0.32,0.35
07/01/2011,-0.65,-0.35,-0.62,-0.39
08/01/2011,-0.75,-0.9,-0.96,-0.66
09/01/2011,-0.25,-0.89,-0.91,-1.3
10/01/2011,-1.04,-1.4,-1.06,-1.39
11/01/2011,1.15,-0.46,-0.94,-1.09
12/01/2011,0.63,0.07,-0.69,-0.93
01/01/2012,-0.29,0.8,-0.59,-0.93
02/01/2012,0.86,0.64,-0.15,-0.85
03/01/2012,1.07,0.75,0.44,-0.55
04/01/2012,0.81,1.37,1.44,-0.02
05/01/2012,-2.28,0.17,0.35,-0.57
06/01/2012,-1.26,-0.7,-0.3,-0.85
07/01/2012,-1.96,-2.9,-1.19,-1.04
08/01/2012,-1.21,-2.14,-1.61,-1.16
09/01/2012,-0.25,-1.63,-1.77,-1.04
10/01/2012,-0.07,-0.92,-2.52,-0.91
11/01/2012,-0.6,-0.83,-1.94,-1.42
