0,1,2,3,4,5,6
07/01/2012,02/01/2013,7,-2.32,-8.18,-1.17,-0.9
08/01/2013,06/01/2014,10,-1.8,-7.37,-0.74,-0.53
03/01/2015,06/01/2015,3,-1.32,-2.75,-0.92,-1.01
10/01/2015,11/01/2015,1,-1.59,-1.59,-1.59,-1.59
03/01/2016,07/01/2016,4,-1.86,-5.56,-1.39,-1.3
12/01/2016,04/01/2017,4,-1.77,-5.02,-1.25,-1.24
01/01/2018,03/01/2018,2,-1.38,-1.39,-0.69,-0.69
05/01/2018,10/01/2018,5,-1.42,-5.15,-1.03,-1.05
01/01/2022,03/01/2022,2,-1.09,-1.82,-0.91,-0.91
08/01/2022,02/01/2023,6,-1.38,-4.38,-0.73,-0.59
04/01/2023,08/01/2023,4,-2.07,-6.09,-1.52,-1.58
11/01/2023,01/01/2024,2,-1.9,-2.35,-1.17,-1.17
