0,1,2,3
-99.0,11,6.88,2.63
-2.0,3,1.88,5.26
-1.9,2,1.25,7.89
-1.7,3,1.88,10.53
-1.6,5,3.12,13.16
-1.5,1,0.62,15.79
-1.4,5,3.12,18.42
-1.3,5,3.12,21.05
-1.2,2,1.25,23.68
-1.1,2,1.25,26.32
-1.0,5,3.12,28.95
-0.9,3,1.88,31.58
-0.8,4,2.5,34.21
-0.7,3,1.88,36.84
-0.6,6,3.75,39.47
-0.5,3,1.88,42.11
-0.4,3,1.88,44.74
-0.3,6,3.75,47.37
-0.2,2,1.25,50.0
-0.1,5,3.12,52.63
0.0,3,1.88,55.26
0.1,2,1.25,57.89
0.2,6,3.75,60.53
0.3,3,1.88,63.16
0.4,4,2.5,65.79
0.5,8,5.0,68.42
0.6,4,2.5,71.05
0.7,5,3.12,73.68
0.8,7,4.38,76.32
0.9,10,6.25,78.95
1.0,6,3.75,81.58
1.1,6,3.75,84.21
1.2,5,3.12,86.84
1.3,3,1.88,89.47
1.4,2,1.25,92.11
1.5,2,1.25,94.74
1.6,4,2.5,97.37
1.7,1,0.62,100.0
