0,1,2,3,4
02/01/2011,1.08,-99.0,-99.0,-99.0
03/01/2011,0.2,-99.0,-99.0,-99.0
04/01/2011,-0.08,0.26,-99.0,-99.0
05/01/2011,1.32,0.63,-99.0,-99.0
06/01/2011,-0.32,0.3,-99.0,-99.0
07/01/2011,-1.19,-0.01,-0.01,-99.0
08/01/2011,0.3,-0.76,-0.19,-99.0
09/01/2011,0.37,-0.53,-0.11,-99.0
10/01/2011,-1.62,-0.72,-0.44,-99.0
11/01/2011,1.24,-0.05,-0.63,-99.0
12/01/2011,0.77,0.2,-0.32,-99.0
01/01/2012,-1.07,0.77,-0.01,-0.08
02/01/2012,0.96,0.7,0.27,-0.06
03/01/2012,0.72,0.48,0.39,0.05
04/01/2012,0.85,1.34,1.38,0.5
05/01/2012,-1.95,0.09,0.34,-0.33
06/01/2012,-1.31,-0.67,-0.39,-0.64
07/01/2012,-1.16,-2.32,-0.9,-0.6
08/01/2012,-1.19,-1.72,-1.26,-0.88
09/01/2012,-0.21,-1.35,-1.38,-0.97
10/01/2012,-0.24,-0.89,-2.28,-0.74
11/01/2012,-0.38,-0.9,-1.72,-1.2
12/01/2012,-0.58,-0.86,-1.62,-1.5
01/01/2013,1.04,-0.15,-0.96,-1.4
02/01/2013,0.77,0.56,-0.44,-1.3
03/01/2013,0.05,0.75,-0.19,-1.4
04/01/2013,0.91,1.08,0.61,-1.4
05/01/2013,2.04,1.72,1.89,0.1
06/01/2013,-0.88,1.11,1.22,0.1
07/01/2013,-0.58,0.45,0.91,0.18
08/01/2013,-1.03,-1.16,0.6,0.18
09/01/2013,0.45,-0.59,0.62,0.35
10/01/2013,-0.03,-0.26,0.19,0.38
11/01/2013,-0.34,-0.25,-1.01,0.44
12/01/2013,-0.09,-0.47,-0.82,0.51
01/01/2014,-1.42,-0.81,-0.95,0.23
02/01/2014,-0.69,-1.62,-1.03,0.01
03/01/2014,-1.87,-1.8,-1.62,-0.24
04/01/2014,0.85,-0.1,-0.67,-0.3
05/01/2014,-0.95,-0.3,-0.91,-1.37
06/01/2014,0.87,0.5,-0.21,-0.81
07/01/2014,-0.6,-0.27,-0.47,-0.77
08/01/2014,0.47,0.25,-0.16,-0.67
09/01/2014,1.92,0.82,0.79,-0.1
10/01/2014,1.9,2.61,1.26,0.63
11/01/2014,-0.9,2.43,1.37,0.62
12/01/2014,0.13,1.15,1.27,0.66
01/01/2015,-0.76,-0.77,1.83,0.79
02/01/2015,-0.13,-0.74,1.84,0.83
03/01/2015,-1.25,-1.01,0.39,0.88
04/01/2015,-0.39,-1.32,-1.53,0.35
05/01/2015,0.55,-0.43,-0.73,0.73
06/01/2015,0.72,0.25,-0.23,0.61
07/01/2015,1.69,1.4,0.78,1.32
08/01/2015,-0.17,1.35,0.78,1.36
09/01/2015,-0.97,1.0,0.7,0.69
10/01/2015,-1.28,-1.59,0.63,-0.33
11/01/2015,2.51,0.77,1.35,0.69
12/01/2015,2.07,1.99,1.98,1.21
01/01/2016,-1.02,2.38,1.26,1.36
02/01/2016,-0.74,1.26,1.23,1.23
03/01/2016,-1.09,-1.3,1.15,1.22
04/01/2016,-0.74,-1.86,1.06,1.15
05/01/2016,-0.2,-1.1,-0.4,0.87
06/01/2016,-1.38,-1.3,-1.76,0.27
07/01/2016,2.11,0.79,-0.15,0.48
08/01/2016,0.02,1.0,0.05,0.53
09/01/2016,1.22,2.17,0.58,0.98
10/01/2016,-1.24,0.0,0.62,0.98
11/01/2016,-0.48,-0.36,0.61,0.16
12/01/2016,-0.27,-1.42,1.09,-0.51
01/01/2017,-0.59,-0.77,-0.68,-0.59
02/01/2017,-1.68,-1.77,-1.2,-0.56
03/01/2017,-0.53,-1.06,-2.01,-0.45
04/01/2017,1.33,0.84,0.09,0.54
05/01/2017,0.31,0.96,0.42,0.67
06/01/2017,0.21,0.91,0.41,0.96
07/01/2017,0.06,0.09,0.43,-0.04
08/01/2017,0.08,0.04,0.65,-0.07
09/01/2017,-0.68,-0.39,0.52,-0.5
10/01/2017,0.39,-0.18,-0.09,-0.14
11/01/2017,-1.29,-0.92,-0.42,-0.22
12/01/2017,-1.98,-0.99,-1.0,-0.38
01/01/2018,0.25,-1.38,-1.22,-0.35
02/01/2018,1.19,-0.01,-0.79,0.15
03/01/2018,0.2,0.75,-0.27,0.27
04/01/2018,-2.2,-0.81,-1.54,-1.05
05/01/2018,-0.57,-1.42,-1.32,-1.13
06/01/2018,0.01,-1.27,-0.67,-1.32
07/01/2018,-1.13,-0.91,-1.5,-1.56
08/01/2018,0.47,-0.5,-1.61,-1.67
09/01/2018,-0.83,-1.05,-1.72,-1.62
10/01/2018,1.21,0.64,-0.41,-1.29
11/01/2018,0.61,0.79,-0.01,-0.92
12/01/2018,1.38,1.58,0.49,-0.29
01/01/2019,0.34,1.05,1.24,-0.36
02/01/2019,0.0,1.2,1.21,-0.58
03/01/2019,0.47,0.27,1.47,-0.5
04/01/2019,0.36,0.27,0.88,0.15
05/01/2019,0.36,0.4,0.84,0.43
06/01/2019,0.61,0.47,0.45,0.58
07/01/2019,0.15,0.37,0.37,0.78
08/01/2019,1.24,0.58,0.63,0.93
09/01/2019,0.31,0.43,0.54,1.12
10/01/2019,0.51,0.75,0.62,0.88
11/01/2019,0.17,0.38,0.56,0.85
12/01/2019,-0.04,0.2,0.36,0.52
01/01/2020,1.88,0.72,1.05,0.9
02/01/2020,0.73,1.45,1.03,0.99
03/01/2020,1.68,1.77,1.37,1.2
04/01/2020,0.16,0.94,1.07,1.14
05/01/2020,-0.29,0.35,0.91,0.91
06/01/2020,0.64,0.12,0.89,0.86
07/01/2020,0.5,0.31,0.69,0.89
08/01/2020,1.46,0.82,0.8,0.98
09/01/2020,0.85,0.99,0.6,1.11
10/01/2020,-0.65,0.46,0.42,0.83
11/01/2020,0.28,0.0,0.6,0.93
12/01/2020,-1.1,-0.93,0.2,0.79
01/01/2021,1.29,0.16,0.38,0.75
02/01/2021,-0.71,-0.46,-0.29,0.51
03/01/2021,1.75,1.1,0.07,0.52
04/01/2021,0.74,1.09,0.81,0.8
05/01/2021,0.49,1.14,0.96,0.97
06/01/2021,2.25,1.7,1.88,1.66
07/01/2021,0.48,1.6,2.07,1.51
08/01/2021,-1.41,1.45,1.91,1.33
09/01/2021,0.16,-0.06,1.4,1.17
10/01/2021,1.07,0.42,1.55,1.61
11/01/2021,-0.96,0.37,1.28,1.54
12/01/2021,-0.37,0.16,-0.03,1.6
01/01/2022,-0.71,-1.09,-0.49,1.55
02/01/2022,0.38,-0.73,-0.09,1.6
03/01/2022,0.57,0.16,0.12,1.35
04/01/2022,0.21,0.32,-0.49,1.13
05/01/2022,0.55,0.44,0.15,1.07
06/01/2022,-1.04,-0.2,-0.18,-0.28
07/01/2022,-0.59,-0.61,-0.52,-0.59
08/01/2022,-1.57,-1.38,-0.74,-0.69
09/01/2022,-0.53,-1.29,-0.93,-0.79
10/01/2022,0.17,-0.81,-1.0,-1.2
11/01/2022,0.2,-0.36,-1.2,-0.99
12/01/2022,-0.49,-0.21,-1.1,-0.99
01/01/2023,-0.2,-0.33,-1.05,-1.12
02/01/2023,1.0,0.08,-0.32,-0.82
03/01/2023,-0.46,0.21,-0.13,-0.99
04/01/2023,-1.95,-1.24,-1.17,-1.7
05/01/2023,-1.33,-2.07,-1.8,-2.03
06/01/2023,-0.47,-1.91,-1.41,-1.98
07/01/2023,0.12,-0.87,-1.71,-1.6
08/01/2023,1.35,0.04,-1.47,-1.33
09/01/2023,-2.06,-0.2,-1.6,-1.45
10/01/2023,-0.2,-0.48,-1.04,-1.63
11/01/2023,-0.84,-1.9,-0.78,-1.9
12/01/2023,0.52,-0.45,-0.52,-1.62
01/01/2024,0.91,0.14,-0.4,-1.69
02/01/2024,-2.01,0.09,-1.42,-1.99
03/01/2024,-0.47,-0.33,-0.71,-1.92
04/01/2024,0.14,-0.78,-0.51,-1.31
05/01/2024,-0.35,-0.39,-0.36,-0.87
