0,1,2,3,4,5,6
01/01/2009,02/01/2009,1,-2.38,-2.38,-2.38,-2.38
10/01/2010,12/01/2010,2,-1.58,-2.1,-1.05,-1.05
01/01/2011,02/01/2011,1,-1.38,-1.38,-1.38,-1.38
07/01/2011,11/01/2011,4,-1.17,-3.31,-0.83,-0.89
05/01/2012,01/01/2013,8,-1.96,-8.49,-1.06,-1.01
07/01/2013,10/01/2013,3,-1.19,-2.8,-0.93,-1.18
01/01/2014,04/01/2014,3,-2.29,-4.22,-1.41,-1.12
03/01/2015,05/01/2015,2,-1.06,-1.5,-0.75,-0.75
10/01/2015,11/01/2015,1,-1.13,-1.13,-1.13,-1.13
03/01/2016,07/01/2016,4,-1.63,-4.12,-1.03,-1.02
02/01/2017,04/01/2017,2,-1.78,-2.14,-1.07,-1.07
11/01/2017,01/01/2018,2,-2.38,-3.67,-1.83,-1.83
04/01/2018,06/01/2018,2,-2.36,-3.08,-1.54,-1.54
09/01/2018,10/01/2018,1,-1.0,-1.0,-1.0,-1.0
12/01/2020,01/01/2021,1,-1.19,-1.19,-1.19,-1.19
08/01/2021,10/01/2021,2,-2.18,-2.32,-1.16,-1.16
04/01/2023,07/01/2023,3,-2.06,-4.14,-1.38,-1.96
09/01/2023,12/01/2023,3,-1.92,-3.15,-1.05,-1.02
02/01/2024,04/01/2024,2,-2.2,-2.48,-1.24,-1.24
