0,1,2,3
-99.0,11,5.76,2.56
-1.9,5,2.62,5.13
-1.8,1,0.52,7.69
-1.7,3,1.57,10.26
-1.6,6,3.14,12.82
-1.5,3,1.57,15.38
-1.4,1,0.52,17.95
-1.3,4,2.09,20.51
-1.2,11,5.76,23.08
-1.1,4,2.09,25.64
-1.0,6,3.14,28.21
-0.9,3,1.57,30.77
-0.8,3,1.57,33.33
-0.7,5,2.62,35.9
-0.6,5,2.62,38.46
-0.5,3,1.57,41.03
-0.4,4,2.09,43.59
-0.3,7,3.66,46.15
-0.2,6,3.14,48.72
-0.1,2,1.05,51.28
0.0,5,2.62,53.85
0.1,5,2.62,56.41
0.2,1,0.52,58.97
0.3,4,2.09,61.54
0.4,8,4.19,64.1
0.5,6,3.14,66.67
0.6,6,3.14,69.23
0.7,11,5.76,71.79
0.8,10,5.24,74.36
0.9,8,4.19,76.92
1.0,12,6.28,79.49
1.1,4,2.09,82.05
1.2,5,2.62,84.62
1.3,1,0.52,87.18
1.5,4,2.09,89.74
1.6,2,1.05,92.31
1.7,3,1.57,94.87
1.8,2,1.05,97.44
1.9,1,0.52,100.0
