0,1,2,3,4
02/01/2000,1.02,-99.0,-99.0,-99.0
03/01/2000,-0.44,-99.0,-99.0,-99.0
04/01/2000,-2.06,-1.11,-99.0,-99.0
05/01/2000,0.25,-1.08,-99.0,-99.0
06/01/2000,0.65,-0.38,-99.0,-99.0
07/01/2000,0.06,0.29,-0.27,-99.0
08/01/2000,2.22,1.11,0.29,-99.0
09/01/2000,-0.14,0.76,0.25,-99.0
10/01/2000,0.41,1.13,0.76,-99.0
11/01/2000,-0.34,-0.29,0.73,-99.0
12/01/2000,-1.43,-0.45,0.4,-99.0
01/01/2001,1.25,0.07,1.01,0.3
02/01/2001,1.72,1.54,0.7,0.51
03/01/2001,-1.49,1.27,0.48,0.4
04/01/2001,-0.01,0.36,0.18,0.73
05/01/2001,1.24,0.24,0.88,0.96
06/01/2001,0.63,0.8,1.13,0.97
07/01/2001,0.74,1.09,1.03,1.14
08/01/2001,-0.05,0.62,0.55,0.65
09/01/2001,-0.21,0.2,0.57,0.6
10/01/2001,0.52,-0.06,0.75,0.66
11/01/2001,0.01,-0.09,0.4,0.72
12/01/2001,-0.67,-0.02,0.07,0.78
01/01/2002,0.87,0.1,-0.12,0.73
02/01/2002,-0.78,-0.36,-0.34,0.25
03/01/2002,-1.25,-0.62,-0.46,0.27
04/01/2002,0.44,-0.68,-0.53,0.4
05/01/2002,1.89,1.04,0.7,0.62
06/01/2002,-0.47,0.92,0.49,0.3
07/01/2002,0.17,0.71,0.27,0.08
08/01/2002,1.72,0.45,0.94,0.51
09/01/2002,-0.43,0.47,0.82,0.45
10/01/2002,0.59,0.81,0.87,0.49
11/01/2002,-1.29,-0.61,0.06,0.38
12/01/2002,-0.55,-0.34,0.17,0.39
01/01/2003,-0.84,-1.48,-0.05,0.14
02/01/2003,0.13,-1.07,-1.11,0.27
03/01/2003,-0.34,-0.79,-0.82,0.38
04/01/2003,0.29,-0.12,-1.08,0.31
05/01/2003,0.18,0.02,-0.53,-0.27
06/01/2003,0.73,0.47,0.02,0.04
07/01/2003,-1.22,-0.17,-0.28,-0.28
08/01/2003,-0.22,-0.32,-0.35,-0.77
09/01/2003,1.62,0.38,0.47,0.03
10/01/2003,-0.85,0.68,0.2,-0.3
11/01/2003,0.29,1.04,0.23,-0.13
12/01/2003,1.27,0.06,0.28,0.15
01/01/2004,0.36,0.8,1.04,0.31
02/01/2004,-0.5,0.56,1.05,0.23
03/01/2004,2.02,1.06,0.67,0.71
04/01/2004,-0.2,0.56,0.84,0.54
05/01/2004,0.6,0.87,0.92,0.62
06/01/2004,-1.62,-0.67,-0.07,0.05
07/01/2004,0.63,-0.06,0.13,0.53
08/01/2004,1.16,0.14,0.59,0.84
