0,1,2,3,4,5,6
04/01/2000,06/01/2000,2,-2.09,-2.21,-1.1,-1.1
12/01/2000,01/01/2001,1,-1.4,-1.4,-1.4,-1.4
03/01/2001,05/01/2001,2,-1.4,-1.5,-0.75,-0.75
03/01/2002,04/01/2002,1,-1.27,-1.27,-1.27,-1.27
11/01/2002,02/01/2003,3,-1.26,-2.68,-0.89,-0.99
07/01/2003,09/01/2003,2,-1.22,-1.54,-0.77,-0.77
06/01/2004,07/01/2004,1,-1.56,-1.56,-1.56,-1.56
09/01/2004,10/01/2004,1,-1.08,-1.08,-1.08,-1.08
03/01/2005,06/01/2005,3,-2.05,-2.8,-0.93,-0.65
07/01/2005,08/01/2005,1,-1.96,-1.96,-1.96,-1.96
02/01/2006,03/01/2006,1,-2.02,-2.02,-2.02,-2.02
05/01/2006,06/01/2006,1,-1.06,-1.06,-1.06,-1.06
09/01/2006,10/01/2006,1,-1.66,-1.66,-1.66,-1.66
08/01/2007,12/01/2007,4,-1.95,-2.73,-0.68,-0.39
01/01/2009,02/01/2009,1,-2.34,-2.34,-2.34,-2.34
10/01/2010,11/01/2010,1,-1.59,-1.59,-1.59,-1.59
01/01/2011,02/01/2011,1,-1.54,-1.54,-1.54,-1.54
10/01/2011,11/01/2011,1,-1.49,-1.49,-1.49,-1.49
05/01/2012,01/01/2013,8,-2.18,-8.34,-1.04,-0.83
06/01/2013,04/01/2014,10,-1.81,-8.4,-0.84,-1.06
11/01/2014,12/01/2014,1,-1.01,-1.01,-1.01,-1.01
10/01/2015,11/01/2015,1,-1.52,-1.52,-1.52,-1.52
06/01/2016,07/01/2016,1,-1.91,-1.91,-1.91,-1.91
10/01/2016,11/01/2016,1,-1.28,-1.28,-1.28,-1.28
02/01/2017,04/01/2017,2,-1.65,-1.88,-0.94,-0.94
11/01/2017,01/01/2018,2,-2.4,-3.95,-1.97,-1.97
04/01/2018,06/01/2018,2,-2.46,-3.44,-1.72,-1.72
12/01/2020,01/01/2021,1,-1.19,-1.19,-1.19,-1.19
08/01/2021,09/01/2021,1,-1.88,-1.88,-1.88,-1.88
11/01/2021,12/01/2021,1,-1.05,-1.05,-1.05,-1.05
06/01/2022,11/01/2022,5,-1.15,-3.28,-0.66,-0.63
04/01/2023,07/01/2023,3,-2.05,-4.34,-1.45,-2.04
09/01/2023,12/01/2023,3,-1.77,-3.18,-1.06,-1.11
02/01/2024,04/01/2024,2,-2.42,-2.57,-1.28,-1.28
