0,1,2,3
-99.0,11,3.77,2.22
-2.3,2,0.68,4.44
-2.0,1,0.34,6.67
-1.9,4,1.37,8.89
-1.8,2,0.68,11.11
-1.7,2,0.68,13.33
-1.6,5,1.71,15.56
-1.5,5,1.71,17.78
-1.4,7,2.4,20.0
-1.3,6,2.05,22.22
-1.2,9,3.08,24.44
-1.1,12,4.11,26.67
-1.0,3,1.03,28.89
-0.9,6,2.05,31.11
-0.8,10,3.42,33.33
-0.7,8,2.74,35.56
-0.6,6,2.05,37.78
-0.5,6,2.05,40.0
-0.4,10,3.42,42.22
-0.3,8,2.74,44.44
-0.2,9,3.08,46.67
-0.1,5,1.71,48.89
0.0,13,4.45,51.11
0.1,8,2.74,53.33
0.2,9,3.08,55.56
0.3,16,5.48,57.78
0.4,8,2.74,60.0
0.5,13,4.45,62.22
0.6,18,6.16,64.44
0.7,11,3.77,66.67
0.8,13,4.45,68.89
0.9,5,1.71,71.11
1.0,7,2.4,73.33
1.1,1,0.34,75.56
1.2,3,1.03,77.78
1.3,2,0.68,80.0
1.4,4,1.37,82.22
1.5,1,0.34,84.44
1.6,2,0.68,86.67
1.7,3,1.03,88.89
1.8,4,1.37,91.11
1.9,2,0.68,93.33
2.0,9,3.08,95.56
2.1,2,0.68,97.78
2.2,1,0.34,100.0
