0,1,2,3,4,5,6
04/01/2000,08/01/2000,4,-2.37,-6.05,-1.51,-1.74
01/01/2003,06/01/2003,5,-1.5,-4.31,-0.86,-0.97
09/01/2004,11/01/2004,2,-1.61,-2.54,-1.27,-1.27
05/01/2005,09/01/2005,4,-1.68,-4.11,-1.03,-1.06
02/01/2006,05/01/2006,3,-1.82,-2.7,-0.9,-0.52
05/01/2012,09/01/2012,4,-2.86,-8.99,-2.25,-2.16
02/01/2014,12/01/2014,10,-2.31,-14.21,-1.42,-1.39
01/01/2017,04/01/2017,3,-2.1,-4.95,-1.65,-1.83
08/01/2017,02/01/2018,6,-2.94,-11.42,-1.9,-1.64
06/01/2023,08/01/2023,2,-2.14,-3.04,-1.52,-1.52
11/01/2023,01/01/2024,2,-1.73,-3.05,-1.53,-1.53
