0,1,2,3,4,5,6
07/01/2000,11/01/2001,16,-1.65,-13.95,-0.87,-0.84
02/01/2003,11/01/2003,9,-1.62,-6.83,-0.76,-0.45
09/01/2004,11/01/2004,2,-1.05,-1.89,-0.94,-0.94
05/01/2005,11/01/2005,6,-1.43,-5.7,-0.95,-1.1
09/01/2006,01/01/2007,4,-1.15,-2.83,-0.71,-0.76
12/01/2007,02/01/2008,2,-1.33,-2.02,-1.01,-1.01
03/01/2009,05/01/2009,2,-1.36,-2.0,-1.0,-1.0
05/01/2012,01/01/2013,8,-2.69,-12.63,-1.58,-1.78
03/01/2014,06/01/2015,15,-2.16,-24.22,-1.61,-1.74
06/01/2016,08/01/2016,2,-1.19,-1.39,-0.69,-0.69
01/01/2017,04/01/2017,3,-1.82,-4.88,-1.63,-1.72
10/01/2017,03/01/2018,5,-3.07,-11.08,-2.22,-2.62
09/01/2023,05/01/2024,8,-1.52,-5.89,-0.74,-0.83
