0,1,2,3,4,5,6
05/01/2000,06/01/2000,1,-1.5,-1.5,-1.5,-1.5
05/01/2001,07/01/2001,2,-1.02,-1.33,-0.66,-0.66
04/01/2002,10/01/2002,6,-1.87,-6.05,-1.01,-1.08
01/01/2003,06/01/2003,5,-2.05,-5.2,-1.04,-0.87
09/01/2003,11/01/2003,2,-2.61,-4.34,-2.17,-2.17
08/01/2004,02/01/2005,6,-2.25,-7.72,-1.29,-1.14
06/01/2006,09/01/2006,3,-1.79,-3.43,-1.14,-1.33
02/01/2009,04/01/2009,2,-1.14,-1.71,-0.86,-0.86
12/01/2010,06/01/2011,6,-1.66,-6.13,-1.02,-1.07
11/01/2011,12/01/2011,1,-1.64,-1.64,-1.64,-1.64
06/01/2012,10/01/2012,4,-2.32,-5.22,-1.3,-1.15
03/01/2013,04/01/2013,1,-1.23,-1.23,-1.23,-1.23
08/01/2013,07/01/2014,11,-2.28,-14.4,-1.31,-1.38
12/01/2016,03/01/2017,3,-1.44,-1.67,-0.56,-0.14
07/01/2017,08/01/2018,13,-2.66,-15.81,-1.22,-1.21
04/01/2020,07/01/2020,3,-1.27,-2.28,-0.76,-0.52
10/01/2020,01/01/2021,3,-1.54,-2.61,-0.87,-0.65
02/01/2022,04/01/2022,2,-1.49,-1.52,-0.76,-0.76
09/01/2022,01/01/2023,4,-1.7,-4.37,-1.09,-1.16
06/01/2023,07/01/2023,1,-1.49,-1.49,-1.49,-1.49
