0,1,2,3,4
02/01/2000,1.53,-99.0,-99.0,-99.0
03/01/2000,-0.03,-99.0,-99.0,-99.0
04/01/2000,-0.59,0.21,-99.0,-99.0
05/01/2000,-1.72,-1.5,-99.0,-99.0
06/01/2000,1.54,0.02,-99.0,-99.0
07/01/2000,0.97,0.87,0.85,-99.0
08/01/2000,-0.5,1.12,0.01,-99.0
09/01/2000,-0.26,-0.04,-0.12,-99.0
10/01/2000,-0.46,-0.86,-0.12,-99.0
11/01/2000,0.82,-0.43,0.71,-99.0
12/01/2000,-1.42,-0.66,-0.38,-99.0
01/01/2001,1.39,0.51,-0.76,0.04
02/01/2001,1.52,1.03,0.19,0.06
03/01/2001,0.45,1.5,0.63,0.18
04/01/2001,-0.74,0.42,0.48,0.12
05/01/2001,-1.09,-1.02,-0.46,0.18
06/01/2001,1.1,-0.31,0.61,0.04
07/01/2001,0.58,0.42,0.53,-0.14
08/01/2001,-1.44,0.17,-0.7,-0.46
09/01/2001,1.06,0.09,-0.19,0.1
10/01/2001,0.36,-0.05,0.13,0.34
11/01/2001,-0.36,0.7,0.47,0.06
12/01/2001,-0.5,-0.59,-0.23,0.11
01/01/2002,-0.95,-0.99,-0.63,-0.14
02/01/2002,0.24,-0.68,0.23,-0.5
03/01/2002,-0.4,-0.62,-0.87,-0.63
04/01/2002,-0.62,-1.05,-1.19,-0.56
05/01/2002,0.58,-0.11,-0.44,0.02
06/01/2002,-2.51,-1.3,-1.59,-0.98
07/01/2002,-0.55,-1.1,-1.58,-1.36
08/01/2002,-0.11,-1.87,-1.7,-1.13
09/01/2002,-0.03,-0.63,-1.43,-1.79
10/01/2002,1.4,0.48,-0.37,-1.13
11/01/2002,-0.97,0.6,-1.09,-1.33
12/01/2002,-1.73,0.5,-0.41,-1.38
01/01/2003,-1.19,-2.05,-0.2,-1.43
02/01/2003,-0.17,-1.64,-0.15,-1.54
03/01/2003,-0.35,-0.87,-0.18,-1.34
04/01/2003,0.3,-0.35,-1.08,-0.96
05/01/2003,-0.25,-0.3,-0.84,-1.24
06/01/2003,1.28,0.97,0.39,-0.11
07/01/2003,-2.46,-0.22,-0.43,-0.41
08/01/2003,-1.16,-0.82,-1.06,-0.9
09/01/2003,-0.81,-2.61,-1.17,-1.19
10/01/2003,-0.89,-1.73,-1.58,-2.22
11/01/2003,2.1,0.38,-0.51,-1.14
12/01/2003,0.73,1.43,-1.16,-0.77
01/01/2004,-0.27,1.76,-0.39,-0.73
02/01/2004,0.14,0.29,0.39,-0.69
03/01/2004,1.36,0.93,1.48,-0.11
04/01/2004,-1.43,-0.08,1.13,-0.51
05/01/2004,0.87,0.59,0.51,-0.03
06/01/2004,-1.04,-0.7,-0.11,-0.89
07/01/2004,0.07,0.01,-0.09,-0.33
08/01/2004,-0.24,-1.02,-0.34,-0.11
09/01/2004,-1.28,-0.85,-1.26,-0.2
10/01/2004,-0.95,-1.25,-1.1,-0.21
11/01/2004,-0.09,-2.25,-2.09,-1.21
12/01/2004,-0.6,-1.87,-1.62,-1.45
01/01/2005,0.29,-0.48,-1.78,-1.43
02/01/2005,1.54,0.78,-1.3,-1.02
03/01/2005,-1.14,0.41,-0.89,-1.58
04/01/2005,1.77,1.83,0.85,-0.38
05/01/2005,0.06,0.63,0.73,-0.73
06/01/2005,0.27,1.35,1.3,-0.31
07/01/2005,0.83,0.58,1.43,0.0
08/01/2005,0.91,1.1,1.5,0.57
09/01/2005,-1.45,0.5,1.16,0.58
10/01/2005,0.4,0.22,0.48,0.9
11/01/2005,0.12,-0.89,0.49,1.03
12/01/2005,0.34,0.17,0.46,1.12
01/01/2006,0.74,0.24,0.2,1.2
02/01/2006,-1.64,-0.16,-1.03,0.78
03/01/2006,0.11,-0.26,-0.12,0.91
04/01/2006,0.38,-0.25,-0.05,0.31
05/01/2006,-1.05,-0.55,-0.66,-0.08
06/01/2006,-0.66,-1.33,-1.41,-0.34
