0,1,2,3,4,5,6
04/01/2000,06/01/2000,2,-1.85,-2.44,-1.22,-1.22
01/01/2001,02/01/2001,1,-1.1,-1.1,-1.1,-1.1
04/01/2001,07/01/2001,3,-1.36,-2.74,-0.91,-0.77
08/01/2001,10/01/2001,2,-1.33,-2.2,-1.1,-1.1
07/01/2002,08/01/2002,1,-1.1,-1.1,-1.1,-1.1
01/01/2003,02/01/2003,1,-2.21,-2.21,-2.21,-2.21
03/01/2003,05/01/2003,2,-1.53,-2.07,-1.03,-1.03
06/01/2004,07/01/2004,1,-1.24,-1.24,-1.24,-1.24
09/01/2004,10/01/2004,1,-2.58,-2.58,-2.58,-2.58
12/01/2004,01/01/2005,1,-1.16,-1.16,-1.16,-1.16
03/01/2005,04/01/2005,1,-1.03,-1.03,-1.03,-1.03
05/01/2005,07/01/2005,2,-1.67,-2.13,-1.07,-1.07
10/01/2005,11/01/2005,1,-1.31,-1.31,-1.31,-1.31
12/01/2005,01/01/2006,1,-2.3,-2.3,-2.3,-2.3
03/01/2007,09/01/2007,6,-2.34,-6.77,-1.13,-0.92
11/01/2007,12/01/2007,1,-1.18,-1.18,-1.18,-1.18
01/01/2009,04/01/2009,3,-1.24,-1.73,-0.58,-0.34
06/01/2010,09/01/2010,3,-1.72,-3.75,-1.25,-1.54
10/01/2010,11/01/2010,1,-1.89,-1.89,-1.89,-1.89
12/01/2010,02/01/2011,2,-2.36,-3.63,-1.81,-1.81
07/01/2011,09/01/2011,2,-1.34,-2.04,-1.02,-1.02
04/01/2012,09/01/2012,5,-2.91,-6.34,-1.27,-0.94
09/01/2013,10/01/2013,1,-1.04,-1.04,-1.04,-1.04
02/01/2014,04/01/2014,2,-1.4,-2.4,-1.2,-1.2
02/01/2015,03/01/2015,1,-1.54,-1.54,-1.54,-1.54
10/01/2015,11/01/2015,1,-1.5,-1.5,-1.5,-1.5
06/01/2016,07/01/2016,1,-1.4,-1.4,-1.4,-1.4
10/01/2016,11/01/2016,1,-1.29,-1.29,-1.29,-1.29
02/01/2017,04/01/2017,2,-1.25,-1.82,-0.91,-0.91
09/01/2017,02/01/2018,5,-1.55,-3.37,-0.67,-0.59
06/01/2022,08/01/2022,2,-2.17,-3.71,-1.85,-1.85
09/01/2022,12/01/2022,3,-1.45,-2.83,-0.94,-0.86
05/01/2023,07/01/2023,2,-1.11,-2.11,-1.05,-1.05
11/01/2023,01/01/2024,2,-2.11,-3.4,-1.7,-1.7
02/01/2024,05/01/2024,3,-2.35,-3.7,-1.23,-1.17
