0,1,2,3,4,5,6
12/01/2000,11/01/2001,11,-1.88,-12.98,-1.18,-1.06
03/01/2003,09/01/2003,6,-1.2,-5.27,-0.88,-0.93
02/01/2004,11/01/2004,9,-1.7,-9.55,-1.06,-1.04
05/01/2005,09/01/2006,16,-1.87,-17.15,-1.07,-0.99
07/01/2007,02/01/2008,7,-1.77,-6.03,-0.86,-0.8
11/01/2008,06/01/2009,7,-1.61,-6.49,-0.93,-0.87
09/01/2010,04/01/2011,7,-2.53,-12.82,-1.83,-1.96
06/01/2012,05/01/2013,11,-1.99,-12.5,-1.14,-1.04
02/01/2015,05/01/2015,3,-1.32,-2.0,-0.67,-0.35
02/01/2017,04/01/2017,2,-1.29,-2.13,-1.06,-1.06
12/01/2017,05/01/2018,5,-1.48,-3.69,-0.74,-0.62
09/01/2023,01/01/2024,4,-1.05,-2.8,-0.7,-0.61
