0,1,2,3
-2.8,1,0.43,2.13
-2.7,1,0.43,4.26
-2.2,1,0.43,6.38
-2.1,2,0.85,8.51
-1.9,1,0.43,10.64
-1.8,2,0.85,12.77
-1.7,7,2.98,14.89
-1.6,4,1.7,17.02
-1.5,1,0.43,19.15
-1.4,6,2.55,21.28
-1.3,3,1.28,23.4
-1.2,3,1.28,25.53
-1.1,3,1.28,27.66
-1.0,3,1.28,29.79
-0.9,7,2.98,31.91
-0.8,6,2.55,34.04
-0.7,8,3.4,36.17
-0.6,4,1.7,38.3
-0.5,10,4.26,40.43
-0.4,10,4.26,42.55
-0.3,10,4.26,44.68
-0.2,9,3.83,46.81
-0.1,10,4.26,48.94
0.0,9,3.83,51.06
0.1,10,4.26,53.19
0.2,7,2.98,55.32
0.3,9,3.83,57.45
0.4,13,5.53,59.57
0.5,6,2.55,61.7
0.6,7,2.98,63.83
0.7,11,4.68,65.96
0.8,5,2.13,68.09
0.9,10,4.26,70.21
1.0,3,1.28,72.34
1.1,4,1.7,74.47
1.2,2,0.85,76.6
1.3,6,2.55,78.72
1.4,6,2.55,80.85
1.5,2,0.85,82.98
1.6,2,0.85,85.11
1.8,2,0.85,87.23
1.9,2,0.85,89.36
2.1,2,0.85,91.49
2.2,1,0.43,93.62
2.3,2,0.85,95.74
2.4,1,0.43,97.87
2.5,1,0.43,100.0
