0,1,2,3,4
11/01/2004,1.53,-99.0,-99.0,-99.0
12/01/2004,-0.69,-99.0,-99.0,-99.0
01/01/2005,2.48,1.89,-99.0,-99.0
02/01/2005,0.75,1.69,-99.0,-99.0
03/01/2005,-1.25,1.32,-99.0,-99.0
04/01/2005,-0.95,-1.2,0.83,-99.0
05/01/2005,-1.71,-2.13,-0.73,-99.0
06/01/2005,0.22,-1.05,-0.3,-99.0
07/01/2005,-1.64,-1.28,-1.64,-99.0
08/01/2005,1.56,0.27,-0.97,-99.0
09/01/2005,-0.68,-0.17,-0.82,-99.0
10/01/2005,0.39,0.67,-0.51,-0.05
11/01/2005,-0.41,-0.73,-0.19,-0.49
12/01/2005,-1.43,-0.59,-0.65,-0.6
01/01/2006,-0.53,-1.23,-0.11,-1.32
02/01/2006,-2.74,-2.42,-1.76,-1.58
03/01/2006,0.05,-1.03,-1.37,-1.33
04/01/2006,-0.09,-0.81,-1.68,-1.32
05/01/2006,-2.09,-1.09,-2.26,-1.51
06/01/2006,-1.44,-1.6,-2.08,-2.1
07/01/2006,-0.46,-1.96,-1.91,-1.73
08/01/2006,-0.88,-1.83,-1.84,-2.26
09/01/2006,-0.37,-1.1,-1.74,-2.04
10/01/2006,0.43,-0.68,-1.74,-2.12
11/01/2006,0.23,-0.13,-1.38,-2.0
12/01/2006,0.35,0.41,-0.86,-1.88
01/01/2007,0.4,0.28,-0.62,-1.74
02/01/2007,0.17,0.21,0.01,-1.43
03/01/2007,-0.35,-0.16,0.18,-1.47
04/01/2007,0.05,-0.35,-0.18,-1.71
05/01/2007,-0.3,-0.43,-0.43,-1.43
06/01/2007,0.91,0.29,0.1,-0.56
07/01/2007,-1.17,-0.16,-0.34,-0.7
08/01/2007,-0.63,-0.34,-0.52,-0.49
09/01/2007,0.29,-0.85,-0.29,-0.28
10/01/2007,0.65,0.06,-0.14,-0.21
11/01/2007,-1.75,-0.09,-0.36,-0.45
12/01/2007,0.34,-0.11,-1.02,-0.5
01/01/2008,0.39,-0.51,-0.46,-0.49
02/01/2008,1.2,0.97,0.53,-0.21
03/01/2008,0.94,1.23,0.9,0.04
04/01/2008,0.94,1.64,1.01,0.34
05/01/2008,0.42,0.98,1.37,0.57
06/01/2008,1.6,1.39,1.76,0.88
07/01/2008,0.68,1.22,1.68,1.28
08/01/2008,-1.84,0.81,1.1,0.99
