0,1,2,3,4,5,6
10/01/2000,11/01/2001,13,-1.79,-12.13,-0.93,-0.88
01/01/2003,02/01/2003,1,-1.08,-1.08,-1.08,-1.08
03/01/2003,06/01/2003,3,-1.35,-2.14,-0.71,-0.46
02/01/2004,05/01/2004,3,-1.58,-2.37,-0.79,-0.78
05/01/2005,08/01/2005,3,-1.54,-3.79,-1.26,-1.18
11/01/2005,03/01/2006,4,-2.88,-6.94,-1.74,-1.55
04/01/2006,07/01/2006,3,-1.16,-2.17,-0.72,-0.51
04/01/2007,09/01/2007,5,-2.04,-8.14,-1.63,-1.53
07/01/2008,02/01/2009,7,-1.48,-5.16,-0.74,-0.54
08/01/2010,04/01/2011,8,-3.15,-12.35,-1.54,-1.13
08/01/2011,11/01/2011,3,-1.53,-3.5,-1.17,-1.35
04/01/2012,09/01/2012,5,-2.6,-8.78,-1.76,-1.92
03/01/2014,04/01/2014,1,-1.49,-1.49,-1.49,-1.49
01/01/2015,04/01/2015,3,-1.96,-4.06,-1.35,-1.84
09/01/2015,11/01/2015,2,-1.72,-2.9,-1.45,-1.45
11/01/2016,04/01/2017,5,-1.51,-4.3,-0.86,-0.86
11/01/2022,01/01/2023,2,-1.86,-2.56,-1.28,-1.28
