0,1,2,3
-99.0,11,3.82,1.92
-2.7,1,0.35,3.85
-2.4,2,0.69,5.77
-2.3,3,1.04,7.69
-2.1,2,0.69,9.62
-2.0,1,0.35,11.54
-1.9,2,0.69,13.46
-1.8,3,1.04,15.38
-1.7,5,1.74,17.31
-1.6,4,1.39,19.23
-1.5,2,0.69,21.15
-1.4,3,1.04,23.08
-1.3,2,0.69,25.0
-1.2,2,0.69,26.92
-1.1,6,2.08,28.85
-1.0,3,1.04,30.77
-0.9,6,2.08,32.69
-0.8,8,2.78,34.62
-0.7,6,2.08,36.54
-0.6,11,3.82,38.46
-0.5,11,3.82,40.38
-0.4,10,3.47,42.31
-0.3,11,3.82,44.23
-0.2,6,2.08,46.15
-0.1,14,4.86,48.08
0.0,19,6.6,50.0
0.1,16,5.56,51.92
0.2,13,4.51,53.85
0.3,11,3.82,55.77
0.4,9,3.12,57.69
0.5,13,4.51,59.62
0.6,12,4.17,61.54
0.7,10,3.47,63.46
0.8,7,2.43,65.38
0.9,6,2.08,67.31
1.0,7,2.43,69.23
1.1,6,2.08,71.15
1.2,2,0.69,73.08
1.3,1,0.35,75.0
1.4,2,0.69,76.92
1.5,3,1.04,78.85
1.6,2,0.69,80.77
1.8,2,0.69,82.69
1.9,2,0.69,84.62
2.0,1,0.35,86.54
2.3,2,0.69,88.46
2.4,1,0.35,90.38
2.5,2,0.69,92.31
2.7,1,0.35,94.23
2.8,1,0.35,96.15
3.0,1,0.35,98.08
3.2,1,0.35,100.0
