0,1,2,3
-99.0,5,1.71,2.04
-3.0,1,0.34,4.08
-2.6,1,0.34,6.12
-2.5,2,0.68,8.16
-2.3,1,0.34,10.2
-2.0,1,0.34,12.24
-1.9,2,0.68,14.29
-1.8,2,0.68,16.33
-1.7,2,0.68,18.37
-1.6,9,3.08,20.41
-1.5,1,0.34,22.45
-1.4,4,1.37,24.49
-1.3,6,2.05,26.53
-1.2,5,1.71,28.57
-1.1,4,1.37,30.61
-1.0,6,2.05,32.65
-0.9,4,1.37,34.69
-0.8,14,4.79,36.73
-0.7,11,3.77,38.78
-0.6,11,3.77,40.82
-0.5,6,2.05,42.86
-0.4,13,4.45,44.9
-0.3,7,2.4,46.94
-0.2,6,2.05,48.98
-0.1,14,4.79,51.02
0.0,12,4.11,53.06
0.1,11,3.77,55.1
0.2,13,4.45,57.14
0.3,16,5.48,59.18
0.4,9,3.08,61.22
0.5,17,5.82,63.27
0.6,12,4.11,65.31
0.7,4,1.37,67.35
0.8,9,3.08,69.39
0.9,3,1.03,71.43
1.0,5,1.71,73.47
1.1,4,1.37,75.51
1.2,2,0.68,77.55
1.3,4,1.37,79.59
1.4,6,2.05,81.63
1.5,3,1.03,83.67
1.6,5,1.71,85.71
1.7,6,2.05,87.76
1.8,5,1.71,89.8
1.9,2,0.68,91.84
2.1,2,0.68,93.88
2.2,2,0.68,95.92
2.3,1,0.34,97.96
2.4,1,0.34,100.0
