0,1,2,3,4,5,6
02/01/2003,01/01/2004,11,-2.77,-13.65,-1.24,-1.07
07/01/2005,03/01/2007,20,-1.61,-17.17,-0.86,-0.82
03/01/2011,02/01/2012,11,-2.04,-9.35,-0.85,-0.66
06/01/2012,02/01/2013,8,-1.23,-6.61,-0.83,-0.95
10/01/2013,09/01/2014,11,-2.31,-17.46,-1.59,-1.48
04/01/2015,06/01/2015,2,-1.09,-1.85,-0.93,-0.93
02/01/2017,06/01/2017,4,-1.19,-2.32,-0.58,-0.55
12/01/2017,12/01/2018,12,-2.29,-13.75,-1.15,-1.26
01/01/2022,03/01/2022,2,-1.32,-2.4,-1.2,-1.2
06/01/2023,12/01/2023,6,-1.72,-7.35,-1.23,-1.26
