0,1,2,3,4
02/01/2000,1.25,-99.0,-99.0,-99.0
03/01/2000,-0.77,-99.0,-99.0,-99.0
04/01/2000,-2.15,-1.36,-99.0,-99.0
05/01/2000,-0.95,-1.99,-99.0,-99.0
06/01/2000,0.46,-0.86,-99.0,-99.0
07/01/2000,0.28,-0.14,-0.53,-99.0
08/01/2000,0.49,0.49,-0.7,-99.0
09/01/2000,-0.14,0.13,-0.56,-99.0
10/01/2000,-0.14,-0.05,-0.25,-99.0
11/01/2000,-0.02,-0.65,0.09,-99.0
12/01/2000,-1.46,-0.89,-0.35,-99.0
01/01/2001,1.78,0.31,-0.02,-0.54
02/01/2001,1.47,1.65,0.4,-0.42
03/01/2001,-0.01,1.74,0.61,-0.3
04/01/2001,0.25,1.13,0.79,0.08
05/01/2001,0.93,0.63,1.17,0.65
06/01/2001,0.52,0.8,1.39,0.7
07/01/2001,-0.27,0.53,0.76,0.52
08/01/2001,0.21,0.08,0.41,0.42
09/01/2001,0.6,0.07,0.56,0.65
10/01/2001,0.35,0.37,0.57,0.77
11/01/2001,-1.18,0.1,0.06,0.67
12/01/2001,-0.29,-0.58,-0.28,0.78
01/01/2002,-0.54,-1.06,-0.21,0.51
02/01/2002,0.97,0.29,0.16,0.37
03/01/2002,-1.91,-0.71,-0.88,0.14
04/01/2002,0.51,-0.06,-0.81,0.18
05/01/2002,2.31,1.56,1.56,0.85
06/01/2002,-1.97,1.04,0.74,0.29
07/01/2002,0.44,0.92,0.78,0.45
08/01/2002,0.92,-0.04,1.01,0.8
09/01/2002,-0.79,0.38,0.92,0.45
10/01/2002,-0.22,0.11,0.75,0.34
11/01/2002,-1.92,-1.93,-0.82,0.31
12/01/2002,-2.03,-1.92,-0.44,0.19
01/01/2003,-1.33,-2.64,-0.94,0.18
02/01/2003,-0.24,-2.23,-2.67,-0.04
03/01/2003,-1.67,-2.34,-2.77,-0.03
04/01/2003,0.98,-0.33,-1.6,0.09
05/01/2003,-0.31,-0.22,-1.07,-1.21
06/01/2003,-0.77,-0.2,-1.1,-0.95
07/01/2003,-1.61,-1.3,-1.18,-1.28
08/01/2003,0.43,-0.98,-0.93,-1.8
09/01/2003,0.62,-0.16,-0.32,-1.28
10/01/2003,-0.76,0.18,-0.93,-1.47
11/01/2003,0.04,-0.14,-0.84,-1.28
12/01/2003,1.43,0.0,-0.24,-0.95
01/01/2004,-0.84,0.4,0.27,-0.88
02/01/2004,-0.76,0.04,-0.16,-0.89
03/01/2004,1.47,0.5,0.25,-0.26
04/01/2004,0.07,0.68,0.58,-0.63
05/01/2004,0.48,0.81,0.69,-0.26
06/01/2004,-0.28,0.03,0.09,-0.11
07/01/2004,0.4,0.15,0.3,0.31
08/01/2004,1.21,0.79,1.06,0.72
09/01/2004,-0.9,0.63,0.37,0.35
10/01/2004,1.13,0.97,0.67,0.77
11/01/2004,0.79,0.32,0.72,0.91
12/01/2004,-0.65,1.01,0.99,0.68
01/01/2005,1.25,0.65,1.24,0.91
02/01/2005,1.11,1.13,0.77,1.2
03/01/2005,-1.04,0.62,1.01,0.75
04/01/2005,-0.62,-0.72,-0.02,0.58
05/01/2005,-0.81,-1.37,-0.83,0.15
06/01/2005,0.2,-0.61,-0.48,0.32
07/01/2005,-2.05,-1.04,-1.11,-0.1
08/01/2005,0.17,-0.7,-1.47,-0.76
09/01/2005,-1.08,-1.57,-1.46,-0.77
10/01/2005,0.44,-0.47,-1.22,-1.05
11/01/2005,-0.47,-1.06,-1.05,-1.32
12/01/2005,-0.33,-0.25,-1.61,-1.41
01/01/2006,0.76,-0.19,-0.74,-1.45
02/01/2006,-2.35,-0.81,-1.31,-1.88
03/01/2006,0.75,0.13,-0.15,-1.5
04/01/2006,-0.22,-0.61,-0.63,-1.51
05/01/2006,-0.85,-0.43,-0.89,-1.3
06/01/2006,-0.37,-0.85,-0.94,-1.55
07/01/2006,0.23,-0.62,-0.73,-0.88
08/01/2006,0.4,-0.07,-0.4,-0.89
09/01/2006,-0.94,-0.28,-0.85,-0.86
10/01/2006,0.23,-0.31,-0.79,-0.97
11/01/2006,0.32,-0.76,-0.42,-0.85
12/01/2006,0.38,0.27,-0.22,-0.84
01/01/2007,-1.22,-0.07,-0.51,-1.0
02/01/2007,0.57,0.01,-0.66,-0.67
03/01/2007,0.64,0.3,0.3,-0.72
04/01/2007,-0.34,0.19,-0.06,-0.83
05/01/2007,0.42,0.24,0.09,-0.31
06/01/2007,0.22,0.13,0.1,-0.1
07/01/2007,-1.23,-0.21,-0.14,-0.36
08/01/2007,0.17,-0.49,-0.27,-0.54
09/01/2007,-0.3,-0.93,-0.53,-0.39
10/01/2007,0.81,0.04,-0.24,-0.26
11/01/2007,-1.28,-0.43,-0.61,-0.46
12/01/2007,0.65,0.29,-0.77,-0.48
01/01/2008,-0.38,-0.47,-0.34,-0.39
02/01/2008,1.25,1.13,0.22,-0.16
03/01/2008,0.57,1.03,0.78,-0.19
04/01/2008,0.94,1.97,0.88,0.14
05/01/2008,-0.29,0.39,0.71,-0.1
06/01/2008,2.22,1.62,1.93,0.88
07/01/2008,2.12,2.08,2.36,1.64
08/01/2008,-1.13,2.06,1.85,1.51
09/01/2008,2.25,2.19,2.49,2.45
10/01/2008,-0.41,1.06,2.3,2.34
11/01/2008,0.5,2.44,2.62,2.54
12/01/2008,0.64,0.03,2.19,2.7
01/01/2009,-1.73,0.07,1.05,2.64
02/01/2009,0.2,-0.31,1.96,2.4
03/01/2009,1.75,1.01,0.6,2.71
04/01/2009,0.69,1.95,1.16,2.71
05/01/2009,-0.47,0.72,0.47,2.31
06/01/2009,0.41,0.2,0.48,1.63
07/01/2009,0.35,0.03,0.63,0.89
08/01/2009,1.2,1.1,1.24,1.72
09/01/2009,-1.03,0.57,0.43,0.54
10/01/2009,1.69,1.22,0.76,1.08
11/01/2009,0.93,0.86,1.18,1.18
12/01/2009,0.19,1.84,1.37,1.19
01/01/2010,-0.01,0.53,1.44,1.31
02/01/2010,-0.29,-0.41,0.49,1.23
03/01/2010,-0.4,-0.85,0.95,0.79
04/01/2010,0.85,0.09,0.33,0.82
05/01/2010,0.92,0.8,0.53,1.14
06/01/2010,1.27,1.44,1.16,1.5
07/01/2010,1.35,1.58,1.42,1.62
08/01/2010,0.04,1.3,1.45,1.28
09/01/2010,1.43,1.44,1.87,1.94
10/01/2010,-1.57,0.43,1.5,1.42
11/01/2010,-0.14,0.66,1.26,1.28
12/01/2010,-1.15,-2.01,0.75,1.23
01/01/2011,-0.88,-0.97,-0.11,1.19
02/01/2011,0.0,-1.37,-0.02,1.21
03/01/2011,-0.45,-1.03,-2.04,1.23
04/01/2011,0.47,-0.28,-0.91,1.13
05/01/2011,-0.29,-0.25,-0.88,0.59
06/01/2011,-0.03,-0.08,-0.61,0.09
07/01/2011,0.18,-0.22,-0.3,-0.29
08/01/2011,-0.48,-0.51,-0.61,-0.54
09/01/2011,-1.24,-1.13,-0.81,-1.53
10/01/2011,-2.27,-2.34,-1.51,-1.68
11/01/2011,2.24,-0.36,-0.59,-0.98
12/01/2011,1.14,1.11,-0.43,-0.77
01/01/2012,-0.6,1.75,-0.66,-0.7
02/01/2012,0.87,0.97,0.17,-0.47
03/01/2012,1.19,1.14,1.39,-0.09
04/01/2012,-0.45,0.89,1.79,-0.4
05/01/2012,-1.15,-0.43,-0.12,-0.55
06/01/2012,-1.73,-1.81,-1.2,-1.01
07/01/2012,0.39,-1.22,-0.66,-0.79
08/01/2012,-0.42,-1.19,-1.23,-0.89
09/01/2012,0.74,0.11,-1.12,-0.32
10/01/2012,-0.53,-0.28,-1.23,-0.15
11/01/2012,0.25,0.22,-0.79,-0.72
12/01/2012,-0.12,-0.59,-0.24,-1.01
01/01/2013,1.24,0.48,-0.15,-0.72
02/01/2013,0.12,0.45,0.34,-0.86
03/01/2013,0.05,0.42,-0.18,-1.2
04/01/2013,1.28,1.15,0.92,-0.69
05/01/2013,1.17,1.32,1.36,0.18
06/01/2013,-1.1,0.7,0.74,0.31
07/01/2013,-1.36,-0.33,0.07,-0.04
08/01/2013,-3.42,-2.92,-0.62,-0.38
09/01/2013,-0.27,-2.52,-0.7,-0.74
