0,1,2,3,4
11/01/2017,-1.63,-99.0,-99.0,-99.0
12/01/2017,-1.41,-99.0,-99.0,-99.0
01/01/2018,-0.61,-1.61,-99.0,-99.0
02/01/2018,1.28,0.24,-99.0,-99.0
03/01/2018,1.13,1.44,-99.0,-99.0
04/01/2018,-1.44,0.66,-0.72,-99.0
05/01/2018,-1.26,-0.64,-0.6,-99.0
06/01/2018,-0.47,-0.94,-0.39,-99.0
07/01/2018,0.26,-0.65,-0.31,-99.0
08/01/2018,0.67,-0.24,-0.5,-99.0
09/01/2018,0.42,0.65,-0.73,-99.0
10/01/2018,0.76,0.95,-0.25,-0.39
11/01/2018,0.22,0.68,-0.01,-0.28
12/01/2018,1.48,1.46,1.41,0.1
01/01/2019,0.3,0.94,1.13,0.16
02/01/2019,0.65,1.32,1.32,0.02
03/01/2019,-0.28,0.02,1.19,-0.28
04/01/2019,0.85,0.88,1.43,0.32
05/01/2019,1.25,0.91,1.4,0.96
06/01/2019,0.06,0.75,0.59,0.74
07/01/2019,-0.52,0.34,0.45,0.71
08/01/2019,0.29,-0.28,0.47,0.69
09/01/2019,1.51,0.59,0.89,0.91
10/01/2019,0.68,1.24,0.73,0.97
11/01/2019,-0.26,1.29,0.21,0.96
12/01/2019,0.38,0.05,0.52,0.76
01/01/2020,1.41,0.45,0.96,0.92
02/01/2020,0.15,0.57,1.08,0.85
03/01/2020,0.73,0.83,1.11,1.14
04/01/2020,0.21,0.38,0.57,0.9
05/01/2020,-0.46,0.09,0.26,0.2
06/01/2020,-0.22,-0.1,0.0,0.08
07/01/2020,2.11,0.35,0.33,0.55
08/01/2020,-1.04,0.18,0.17,0.35
09/01/2020,0.78,1.11,0.19,0.25
10/01/2020,-1.8,-1.19,-0.15,0.08
11/01/2020,0.69,-0.33,0.0,0.19
12/01/2020,-0.69,-1.8,0.16,-0.03
01/01/2021,0.32,0.08,-1.03,-0.21
02/01/2021,-0.94,-1.13,-0.97,-0.24
03/01/2021,0.85,0.3,-0.56,-0.04
04/01/2021,0.79,1.08,0.79,0.09
05/01/2021,1.07,1.23,0.83,0.5
06/01/2021,2.09,1.74,1.81,1.41
07/01/2021,-0.66,1.84,1.71,1.14
08/01/2021,-1.11,1.95,1.85,1.29
09/01/2021,-0.37,-1.45,1.63,1.16
10/01/2021,1.17,-0.32,1.76,1.53
11/01/2021,-0.78,-0.11,1.92,1.47
12/01/2021,-0.71,-0.48,-1.68,1.58
01/01/2022,-2.03,-1.43,-1.41,1.5
02/01/2022,-0.23,-1.81,-1.19,1.56
03/01/2022,0.29,-0.57,-0.75,1.38
04/01/2022,0.09,-0.55,-1.71,1.21
05/01/2022,-0.27,-0.16,-0.92,0.64
06/01/2022,-0.71,-0.31,-0.73,-1.04
07/01/2022,-0.5,-0.7,-0.7,-1.09
08/01/2022,-0.52,-1.4,-0.81,-1.31
09/01/2022,-1.13,-1.31,-0.97,-1.36
10/01/2022,-0.31,-1.29,-1.26,-1.41
11/01/2022,1.77,0.37,-1.17,-1.04
12/01/2022,-0.34,0.6,-0.84,-1.22
01/01/2023,0.09,0.83,-0.41,-1.14
02/01/2023,0.98,0.43,0.47,-0.65
03/01/2023,-0.77,-0.06,0.51,-0.73
04/01/2023,-1.54,-2.0,-0.66,-1.71
05/01/2023,-1.25,-1.98,-1.63,-2.08
06/01/2023,-0.89,-1.19,-1.29,-1.18
07/01/2023,-0.72,-1.2,-1.48,-1.31
08/01/2023,1.69,-0.22,-1.19,-1.01
09/01/2023,-1.23,0.42,-1.02,-0.96
10/01/2023,-0.49,0.62,-0.83,-0.78
11/01/2023,-0.03,-1.9,-0.95,-1.31
12/01/2023,1.25,0.17,0.43,-1.19
01/01/2024,0.56,0.77,0.76,-1.24
02/01/2024,-1.81,0.39,-0.72,-1.54
03/01/2024,-1.92,-1.95,-1.49,-1.47
04/01/2024,1.13,-0.44,0.3,-0.82
05/01/2024,0.92,0.57,0.65,-0.22
