0,1,2,3,4,5,6
12/01/2000,01/01/2001,1,-1.87,-1.87,-1.87,-1.87
03/01/2002,04/01/2002,1,-1.45,-1.45,-1.45,-1.45
09/01/2002,10/01/2002,1,-1.18,-1.18,-1.18,-1.18
11/01/2002,02/01/2003,3,-1.83,-3.54,-1.18,-0.89
07/01/2003,08/01/2003,1,-1.28,-1.28,-1.28,-1.28
10/01/2003,11/01/2003,1,-1.16,-1.16,-1.16,-1.16
02/01/2004,03/01/2004,1,-1.21,-1.21,-1.21,-1.21
06/01/2004,08/01/2004,2,-1.8,-1.95,-0.98,-0.98
03/01/2005,08/01/2005,5,-1.79,-6.55,-1.31,-1.5
02/01/2006,03/01/2006,1,-1.88,-1.88,-1.88,-1.88
05/01/2006,06/01/2006,1,-1.81,-1.81,-1.81,-1.81
07/01/2007,08/01/2007,1,-1.19,-1.19,-1.19,-1.19
01/01/2009,02/01/2009,1,-3.0,-3.0,-3.0,-3.0
10/01/2010,02/01/2011,4,-1.53,-3.8,-0.95,-0.85
03/01/2011,11/01/2011,8,-1.48,-7.63,-0.95,-1.26
01/01/2012,04/01/2012,3,-1.38,-1.87,-0.62,-0.42
05/01/2012,09/01/2012,4,-2.48,-4.33,-1.08,-0.8
08/01/2013,09/01/2013,1,-1.24,-1.24,-1.24,-1.24
03/01/2014,04/01/2014,1,-1.48,-1.48,-1.48,-1.48
10/01/2015,11/01/2015,1,-1.32,-1.32,-1.32,-1.32
02/01/2016,05/01/2016,3,-1.66,-3.74,-1.25,-1.1
06/01/2016,07/01/2016,1,-1.91,-1.91,-1.91,-1.91
10/01/2016,03/01/2017,5,-1.14,-2.52,-0.5,-0.29
09/01/2017,10/01/2017,1,-2.33,-2.33,-2.33,-2.33
11/01/2017,01/01/2018,2,-1.71,-2.92,-1.46,-1.46
04/01/2018,06/01/2018,2,-2.22,-2.43,-1.22,-1.22
08/01/2020,09/01/2020,1,-2.15,-2.15,-2.15,-2.15
10/01/2020,11/01/2020,1,-1.08,-1.08,-1.08,-1.08
02/01/2021,03/01/2021,1,-1.03,-1.03,-1.03,-1.03
08/01/2021,09/01/2021,1,-1.25,-1.25,-1.25,-1.25
11/01/2021,03/01/2022,4,-1.52,-2.5,-0.62,-0.43
08/01/2022,09/01/2022,1,-1.83,-1.83,-1.83,-1.83
04/01/2023,05/01/2023,1,-2.46,-2.46,-2.46,-2.46
06/01/2023,08/01/2023,2,-1.69,-2.67,-1.34,-1.34
09/01/2023,12/01/2023,3,-1.68,-3.74,-1.25,-1.32
02/01/2024,04/01/2024,2,-1.99,-2.32,-1.16,-1.16
