0,1,2,3
-99.0,11,3.82,2.13
-2.5,1,0.35,4.26
-2.4,1,0.35,6.38
-2.0,1,0.35,8.51
-1.9,2,0.69,10.64
-1.8,3,1.04,12.77
-1.7,2,0.69,14.89
-1.6,5,1.74,17.02
-1.5,3,1.04,19.15
-1.4,8,2.78,21.28
-1.3,7,2.43,23.4
-1.2,11,3.82,25.53
-1.1,3,1.04,27.66
-1.0,6,2.08,29.79
-0.9,7,2.43,31.91
-0.8,8,2.78,34.04
-0.7,8,2.78,36.17
-0.6,10,3.47,38.3
-0.5,13,4.51,40.43
-0.4,9,3.12,42.55
-0.3,4,1.39,44.68
-0.2,6,2.08,46.81
-0.1,13,4.51,48.94
0.0,11,3.82,51.06
0.1,8,2.78,53.19
0.2,12,4.17,55.32
0.3,22,7.64,57.45
0.4,5,1.74,59.57
0.5,13,4.51,61.7
0.6,5,1.74,63.83
0.7,8,2.78,65.96
0.8,5,1.74,68.09
0.9,4,1.39,70.21
1.0,5,1.74,72.34
1.1,7,2.43,74.47
1.2,7,2.43,76.6
1.3,8,2.78,78.72
1.4,4,1.39,80.85
1.5,3,1.04,82.98
1.6,1,0.35,85.11
1.7,2,0.69,87.23
1.8,2,0.69,89.36
1.9,6,2.08,91.49
2.0,3,1.04,93.62
2.1,2,0.69,95.74
2.2,2,0.69,97.87
2.3,1,0.35,100.0
