0,1,2,3,4
06/01/2000,0.86,-99.0,-99.0,-99.0
07/01/2000,-0.47,-99.0,-99.0,-99.0
08/01/2000,0.27,0.16,-99.0,-99.0
09/01/2000,-0.23,-0.44,-99.0,-99.0
10/01/2000,0.02,-0.15,-99.0,-99.0
11/01/2000,-0.07,-0.46,-0.16,-99.0
12/01/2000,-1.87,-0.77,-0.81,-99.0
01/01/2001,1.29,0.12,-0.19,-99.0
02/01/2001,1.37,1.22,0.18,-99.0
03/01/2001,-0.65,1.25,0.24,-99.0
04/01/2001,-0.33,-0.01,-0.04,-99.0
05/01/2001,0.75,-0.07,0.43,0.05
06/01/2001,0.28,0.26,0.67,-0.14
07/01/2001,-0.25,0.21,0.12,-0.06
08/01/2001,0.44,0.02,-0.07,-0.05
09/01/2001,-0.06,-0.14,-0.02,0.02
10/01/2001,0.65,0.31,0.26,0.16
11/01/2001,0.45,0.28,0.12,0.26
12/01/2001,-0.88,0.22,-0.09,0.31
01/01/2002,1.14,0.47,0.44,0.28
02/01/2002,-0.45,0.01,0.18,0.0
03/01/2002,-1.45,-0.27,-0.07,-0.1
04/01/2002,0.64,-0.35,0.0,0.18
05/01/2002,1.7,1.0,0.94,0.51
06/01/2002,-0.7,0.86,0.62,0.26
07/01/2002,-0.22,0.37,0.13,0.26
08/01/2002,-0.05,-0.82,0.14,0.12
09/01/2002,-1.18,-0.85,0.03,-0.06
10/01/2002,0.15,-0.65,-0.17,-0.18
11/01/2002,-1.83,-1.48,-1.31,-0.47
12/01/2002,-0.82,-1.06,-1.3,-0.46
01/01/2003,-0.89,-2.0,-1.69,-0.84
02/01/2003,0.1,-1.53,-2.0,-0.72
03/01/2003,-0.15,-0.79,-1.48,-0.6
04/01/2003,-0.15,-0.44,-1.79,-0.99
05/01/2003,-0.11,-0.36,-1.05,-1.54
06/01/2003,0.1,-0.17,-0.5,-1.3
07/01/2003,-1.28,-0.63,-0.7,-1.42
08/01/2003,0.64,-0.39,-0.52,-1.43
09/01/2003,0.53,-0.08,-0.26,-0.81
10/01/2003,-1.16,0.14,-0.47,-1.11
11/01/2003,0.27,-0.22,-0.41,-0.87
12/01/2003,0.84,-0.25,-0.26,-0.61
01/01/2004,-0.58,0.14,0.09,-0.6
02/01/2004,-1.21,-0.72,-0.56,-0.68
03/01/2004,0.43,-0.8,-0.8,-0.63
04/01/2004,-0.63,-0.95,-0.74,-0.86
05/01/2004,-0.5,-0.62,-1.0,-0.82
06/01/2004,-1.8,-1.4,-1.56,-1.24
07/01/2004,-0.16,-1.06,-1.23,-0.86
08/01/2004,1.84,0.42,-0.11,-0.44
09/01/2004,-0.9,0.58,-0.45,-0.73
10/01/2004,0.74,1.04,-0.05,-0.37
11/01/2004,1.29,0.42,0.45,-0.12
12/01/2004,-0.01,1.06,0.92,-0.26
01/01/2005,1.79,1.67,1.8,0.24
02/01/2005,0.84,1.92,1.2,0.48
03/01/2005,-1.79,1.03,1.45,0.24
04/01/2005,-0.69,-1.1,0.69,0.21
05/01/2005,-1.63,-2.05,-0.65,0.03
06/01/2005,-0.94,-1.6,-0.78,0.13
07/01/2005,-1.5,-1.91,-1.88,-0.1
08/01/2005,0.49,-1.16,-2.01,-0.81
09/01/2005,-0.08,-0.59,-1.51,-0.52
