0,1,2,3,4,5,6
08/01/2015,09/01/2015,1,-1.11,-1.11,-1.11,-1.11
01/01/2016,04/01/2016,3,-2.29,-4.7,-1.57,-1.72
06/01/2016,07/01/2016,1,-2.08,-2.08,-2.08,-2.08
10/01/2016,04/01/2017,6,-2.14,-5.59,-0.93,-0.91
08/01/2017,02/01/2018,6,-1.57,-5.42,-0.9,-1.06
04/01/2018,06/01/2018,2,-1.16,-1.95,-0.98,-0.98
07/01/2018,10/01/2018,3,-2.08,-2.78,-0.93,-0.6
09/01/2019,10/01/2019,1,-1.34,-1.34,-1.34,-1.34
05/01/2021,06/01/2021,1,-1.03,-1.03,-1.03,-1.03
08/01/2021,09/01/2021,1,-1.05,-1.05,-1.05,-1.05
11/01/2021,12/01/2021,1,-1.5,-1.5,-1.5,-1.5
04/01/2023,08/01/2023,4,-1.98,-4.76,-1.19,-1.34
09/01/2023,10/01/2023,1,-1.32,-1.32,-1.32,-1.32
02/01/2024,03/01/2024,1,-1.89,-1.89,-1.89,-1.89
